"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","limit_to","perim_defender","rim_protector","oreb","dreb"
"Isaiah Hartenstein","NBA","F","CLEDENLACNYK",0.0909090909090909,0.920454545454545,0.329545454545455,0.880681818181818,0.482954545454545,0.926136363636364,0.982954545454545,0.971590909090909,0.875
"Chuma Okeke","NBA","F","ORL",0.761363636363636,0.142045454545455,0.329545454545455,0.772727272727273,0.909090909090909,0.909090909090909,0.784090909090909,0.301136363636364,0.545454545454545
"Trey Murphy III","NBA","F","NOP",0.914772727272727,0.198863636363636,0.460227272727273,0.204545454545455,0.801136363636364,0.551136363636364,0.420454545454545,0.301136363636364,0.0852272727272727
"Thaddeus Young","NBA","F","CHISASTOR",0.0795454545454545,0.846590909090909,0.681818181818182,0.960227272727273,0.846590909090909,0.988636363636364,0.801136363636364,0.914772727272727,0.5625
"Taurean Prince","NBA","F","BRKCLEMIN",0.772727272727273,0.306818181818182,0.590909090909091,0.579545454545455,0.352272727272727,0.380681818181818,0.392045454545455,0.0568181818181818,0.255681818181818
"Naji Marshall","NBA","F","NOP",0.289772727272727,0.653409090909091,0.653409090909091,0.857954545454545,0.721590909090909,0.625,0.409090909090909,0.267045454545455,0.551136363636364
"Rudy Gay","NBA","F","SASUTA",0.704545454545455,0.335227272727273,0.840909090909091,0.267045454545455,0.392045454545455,0.420454545454545,0.477272727272727,0.448863636363636,0.806818181818182
"Oshae Brissett","NBA","F","IND",0.602272727272727,0.579545454545455,0.488636363636364,0.107954545454545,0.511363636363636,0.130681818181818,0.136363636363636,0.778409090909091,0.636363636363636
"Trey Lyles","NBA","F","DETSACSAS",0.511363636363636,0.590909090909091,0.670454545454545,0.227272727272727,0.289772727272727,0.198863636363636,0.289772727272727,0.676136363636364,0.892045454545455
"Derrick Jones Jr.","NBA","F","CHIPOR",0.278409090909091,0.704545454545455,0.170454545454545,0.210227272727273,0.505681818181818,0.676136363636364,0.863636363636364,0.789772727272727,0.136363636363636
"Dean Wade","NBA","F","CLE",0.869318181818182,0.0852272727272727,0.0625,0.630681818181818,0.931818181818182,0.789772727272727,0.681818181818182,0.204545454545455,0.5
"Aleksej Pokusevski","NBA","F","OKC",0.585227272727273,0.267045454545455,0.755681818181818,0.846590909090909,0.0681818181818182,0.477272727272727,0.778409090909091,0.556818181818182,0.75
"JaMychal Green","NBA","F","DENGSW",0.5625,0.420454545454545,0.539772727272727,0.284090909090909,0.136363636363636,0.4375,0.460227272727273,0.857954545454545,0.784090909090909
"Jaxson Hayes","NBA","F","NOP",0.0738636363636364,0.948863636363636,0.4375,0.113636363636364,0.1875,0.5625,0.789772727272727,0.857954545454545,0.625
"Xavier Tillman Sr.","NBA","F","MEM",0.0965909090909091,0.863636363636364,0.272727272727273,0.75,0.767045454545455,0.965909090909091,0.857954545454545,0.875,0.590909090909091
"Obi Toppin","NBA","F","NYK",0.505681818181818,0.363636363636364,0.693181818181818,0.426136363636364,0.477272727272727,0.471590909090909,0.539772727272727,0.477272727272727,0.636363636363636
"Danilo Gallinari","NBA","F","ATL",0.755681818181818,0.443181818181818,0.744318181818182,0.318181818181818,0.875,0.170454545454545,0.0909090909090909,0.0568181818181818,0.653409090909091
"Isaiah Roby","NBA","F","OKCSAS",0.284090909090909,0.784090909090909,0.625,0.715909090909091,0.119318181818182,0.698863636363636,0.6875,0.755681818181818,0.6875
"Juan Toscano-Anderson","NBA","F","GSWLALUTA",0.3125,0.505681818181818,0.119318181818182,0.9375,0.880681818181818,0.926136363636364,0.823863636363636,0.232954545454545,0.602272727272727
"Dāvis Bertāns","NBA","F","DALWAS",0.994318181818182,0.0113636363636364,0.460227272727273,0.0681818181818182,0.698863636363636,0.0909090909090909,0.0625,0.0340909090909091,0.136363636363636
"Cam Reddish","NBA","F","ATLNYKPOR",0.534090909090909,0.477272727272727,0.744318181818182,0.125,0.176136363636364,0.528409090909091,0.335227272727273,0.125,0.0170454545454545
"Nassir Little","NBA","F","POR",0.619318181818182,0.386363636363636,0.375,0.335227272727273,0.460227272727273,0.0454545454545455,0.295454545454545,0.5,0.5625
"Keita Bates-Diop","NBA","F","SAS",0.261363636363636,0.789772727272727,0.397727272727273,0.465909090909091,0.454545454545455,0.335227272727273,0.244318181818182,0.619318181818182,0.551136363636364
"Jordan Nwora","NBA","F","INDMIL",0.806818181818182,0.284090909090909,0.795454545454545,0.193181818181818,0.142045454545455,0.0681818181818182,0.0852272727272727,0.375,0.5625
"Lamar Stevens","NBA","F","CLE",0.153409090909091,0.772727272727273,0.375,0.164772727272727,0.380681818181818,0.613636363636364,0.585227272727273,0.602272727272727,0.431818181818182
"Jonathan Kuminga","NBA","F","GSW",0.323863636363636,0.8125,0.846590909090909,0.482954545454545,0.0852272727272727,0.477272727272727,0.494318181818182,0.619318181818182,0.369318181818182
"Stanley Johnson","NBA","F","LALSASTOR",0.465909090909091,0.482954545454545,0.181818181818182,0.869318181818182,0.784090909090909,0.801136363636364,0.607954545454545,0.267045454545455,0.335227272727273
