"Team","split","variable","game_code","stats"
"UTEP","wins","Offensive_3Ppct","California 20231120",29.4
"UTEP","wins","Offensive_3Ppct","Western New Mexico 20231204",34.5
"UTEP","losses","Offensive_3Ppct","Bradley 20231122",23.5
"UTEP","losses","Offensive_3Ppct","Loyola Marymount 20231125",11.8
"UTEP","losses","Offensive_3Ppct","Texas A&M-CC 20231129",15.8
"UTEP","recency5","Offensive_TOpct","California 20231120",19
"UTEP","recency5","Offensive_TOpct","Bradley 20231122",27.2
"UTEP","recency5","Offensive_TOpct","Loyola Marymount 20231125",19.9
"UTEP","recency5","Offensive_TOpct","Texas A&M-CC 20231129",28.6
"UTEP","recency5","Offensive_TOpct","Western New Mexico 20231204",13
"UTEP","recency10","Offensive_TOpct","McMurry 20231106",16.9
"UTEP","recency10","Offensive_TOpct","Univ. of Science and A 20231109",10.7
"UTEP","recency10","Offensive_TOpct","UC Santa Barbara 20231113",9.4
"UTEP","recency10","Offensive_TOpct","Austin Peay 20231117",29.5
"UTEP","recency10","Offensive_TOpct","California 20231120",19
"UTEP","recency10","Offensive_TOpct","Bradley 20231122",27.2
"UTEP","recency10","Offensive_TOpct","Loyola Marymount 20231125",19.9
"UTEP","recency10","Offensive_TOpct","Texas A&M-CC 20231129",28.6
"UTEP","recency10","Offensive_TOpct","Western New Mexico 20231204",13
"UTEP","home","Offensive_TOpct","McMurry 20231106",16.9
"UTEP","home","Offensive_TOpct","Univ. of Science and A 20231109",10.7
"UTEP","home","Offensive_TOpct","UC Santa Barbara 20231113",9.4
"UTEP","home","Offensive_TOpct","Austin Peay 20231117",29.5
"UTEP","home","Offensive_TOpct","Texas A&M-CC 20231129",28.6
"UTEP","home","Offensive_TOpct","Western New Mexico 20231204",13
"UTEP","away","Offensive_TOpct","California 20231120",19
"UTEP","away","Offensive_TOpct","Bradley 20231122",27.2
"UTEP","away","Offensive_TOpct","Loyola Marymount 20231125",19.9
"UTEP","net100","Offensive_TOpct","Bradley 20231122",27.2
"UTEP","wins","Offensive_TOpct","McMurry 20231106",16.9
"UTEP","wins","Offensive_TOpct","Univ. of Science and A 20231109",10.7
"UTEP","wins","Offensive_TOpct","UC Santa Barbara 20231113",9.4
"UTEP","wins","Offensive_TOpct","Austin Peay 20231117",29.5
"UTEP","wins","Offensive_TOpct","California 20231120",19
"UTEP","wins","Offensive_TOpct","Western New Mexico 20231204",13
"UTEP","losses","Offensive_TOpct","Bradley 20231122",27.2
"UTEP","losses","Offensive_TOpct","Loyola Marymount 20231125",19.9
"UTEP","losses","Offensive_TOpct","Texas A&M-CC 20231129",28.6
"UTEP","recency5","Offensive_OREBpct","California 20231120",44.4
"UTEP","recency5","Offensive_OREBpct","Bradley 20231122",40.5
"UTEP","recency5","Offensive_OREBpct","Loyola Marymount 20231125",17.5
"UTEP","recency5","Offensive_OREBpct","Texas A&M-CC 20231129",27
"UTEP","recency5","Offensive_OREBpct","Western New Mexico 20231204",52.5
"UTEP","recency10","Offensive_OREBpct","McMurry 20231106",30.3
"UTEP","recency10","Offensive_OREBpct","Univ. of Science and A 20231109",41.2
"UTEP","recency10","Offensive_OREBpct","UC Santa Barbara 20231113",27
"UTEP","recency10","Offensive_OREBpct","Austin Peay 20231117",29
"UTEP","recency10","Offensive_OREBpct","California 20231120",44.4
"UTEP","recency10","Offensive_OREBpct","Bradley 20231122",40.5
"UTEP","recency10","Offensive_OREBpct","Loyola Marymount 20231125",17.5
"UTEP","recency10","Offensive_OREBpct","Texas A&M-CC 20231129",27
"UTEP","recency10","Offensive_OREBpct","Western New Mexico 20231204",52.5
"UTEP","home","Offensive_OREBpct","McMurry 20231106",30.3
"UTEP","home","Offensive_OREBpct","Univ. of Science and A 20231109",41.2
"UTEP","home","Offensive_OREBpct","UC Santa Barbara 20231113",27
"UTEP","home","Offensive_OREBpct","Austin Peay 20231117",29
"UTEP","home","Offensive_OREBpct","Texas A&M-CC 20231129",27
"UTEP","home","Offensive_OREBpct","Western New Mexico 20231204",52.5
"UTEP","away","Offensive_OREBpct","California 20231120",44.4
"UTEP","away","Offensive_OREBpct","Bradley 20231122",40.5
"UTEP","away","Offensive_OREBpct","Loyola Marymount 20231125",17.5
"UTEP","net100","Offensive_OREBpct","Bradley 20231122",40.5
"UTEP","wins","Offensive_OREBpct","McMurry 20231106",30.3
"UTEP","wins","Offensive_OREBpct","Univ. of Science and A 20231109",41.2
"UTEP","wins","Offensive_OREBpct","UC Santa Barbara 20231113",27
"UTEP","wins","Offensive_OREBpct","Austin Peay 20231117",29
"UTEP","wins","Offensive_OREBpct","California 20231120",44.4
"UTEP","wins","Offensive_OREBpct","Western New Mexico 20231204",52.5
"UTEP","losses","Offensive_OREBpct","Bradley 20231122",40.5
"UTEP","losses","Offensive_OREBpct","Loyola Marymount 20231125",17.5
"UTEP","losses","Offensive_OREBpct","Texas A&M-CC 20231129",27
"UTEP","recency5","Offensive_FTr","California 20231120",69.8
"UTEP","recency5","Offensive_FTr","Bradley 20231122",31.6
"UTEP","recency5","Offensive_FTr","Loyola Marymount 20231125",35.9
"UTEP","recency5","Offensive_FTr","Texas A&M-CC 20231129",46.1
"UTEP","recency5","Offensive_FTr","Western New Mexico 20231204",25.4
"UTEP","recency10","Offensive_FTr","McMurry 20231106",22.8
"UTEP","recency10","Offensive_FTr","Univ. of Science and A 20231109",62.9
"UTEP","recency10","Offensive_FTr","UC Santa Barbara 20231113",49.2
"UTEP","recency10","Offensive_FTr","Austin Peay 20231117",66
"UTEP","recency10","Offensive_FTr","California 20231120",69.8
"UTEP","recency10","Offensive_FTr","Bradley 20231122",31.6
"UTEP","recency10","Offensive_FTr","Loyola Marymount 20231125",35.9
"UTEP","recency10","Offensive_FTr","Texas A&M-CC 20231129",46.1
"UTEP","recency10","Offensive_FTr","Western New Mexico 20231204",25.4
"UTEP","home","Offensive_FTr","McMurry 20231106",22.8
"UTEP","home","Offensive_FTr","Univ. of Science and A 20231109",62.9
"UTEP","home","Offensive_FTr","UC Santa Barbara 20231113",49.2
"UTEP","home","Offensive_FTr","Austin Peay 20231117",66
"UTEP","home","Offensive_FTr","Texas A&M-CC 20231129",46.1
"UTEP","home","Offensive_FTr","Western New Mexico 20231204",25.4
"UTEP","away","Offensive_FTr","California 20231120",69.8
"UTEP","away","Offensive_FTr","Bradley 20231122",31.6
"UTEP","away","Offensive_FTr","Loyola Marymount 20231125",35.9
"UTEP","net100","Offensive_FTr","Bradley 20231122",31.6
"UTEP","wins","Offensive_FTr","McMurry 20231106",22.8
"UTEP","wins","Offensive_FTr","Univ. of Science and A 20231109",62.9
"UTEP","wins","Offensive_FTr","UC Santa Barbara 20231113",49.2
"UTEP","wins","Offensive_FTr","Austin Peay 20231117",66
"UTEP","wins","Offensive_FTr","California 20231120",69.8
"UTEP","wins","Offensive_FTr","Western New Mexico 20231204",25.4
"UTEP","losses","Offensive_FTr","Bradley 20231122",31.6
"UTEP","losses","Offensive_FTr","Loyola Marymount 20231125",35.9
"UTEP","losses","Offensive_FTr","Texas A&M-CC 20231129",46.1
"UTEP","recency5","Defensive_3PAr","California 20231120",36.2
"UTEP","recency5","Defensive_3PAr","Bradley 20231122",26.8
"UTEP","recency5","Defensive_3PAr","Loyola Marymount 20231125",47.3
"UTEP","recency5","Defensive_3PAr","Texas A&M-CC 20231129",26.5
"UTEP","recency5","Defensive_3PAr","Western New Mexico 20231204",36.8
"UTEP","recency10","Defensive_3PAr","McMurry 20231106",41.1
"UTEP","recency10","Defensive_3PAr","Univ. of Science and A 20231109",36.7
"UTEP","recency10","Defensive_3PAr","UC Santa Barbara 20231113",26.9
"UTEP","recency10","Defensive_3PAr","Austin Peay 20231117",36.4
"UTEP","recency10","Defensive_3PAr","California 20231120",36.2
"UTEP","recency10","Defensive_3PAr","Bradley 20231122",26.8
"UTEP","recency10","Defensive_3PAr","Loyola Marymount 20231125",47.3
"UTEP","recency10","Defensive_3PAr","Texas A&M-CC 20231129",26.5
"UTEP","recency10","Defensive_3PAr","Western New Mexico 20231204",36.8
"UTEP","home","Defensive_3PAr","McMurry 20231106",41.1
"UTEP","home","Defensive_3PAr","Univ. of Science and A 20231109",36.7
"UTEP","home","Defensive_3PAr","UC Santa Barbara 20231113",26.9
"UTEP","home","Defensive_3PAr","Austin Peay 20231117",36.4
"UTEP","home","Defensive_3PAr","Texas A&M-CC 20231129",26.5
"UTEP","home","Defensive_3PAr","Western New Mexico 20231204",36.8
"UTEP","away","Defensive_3PAr","California 20231120",36.2
"UTEP","away","Defensive_3PAr","Bradley 20231122",26.8
"UTEP","away","Defensive_3PAr","Loyola Marymount 20231125",47.3
"UTEP","net100","Defensive_3PAr","Bradley 20231122",26.8
"UTEP","wins","Defensive_3PAr","McMurry 20231106",41.1
"UTEP","wins","Defensive_3PAr","Univ. of Science and A 20231109",36.7
"UTEP","wins","Defensive_3PAr","UC Santa Barbara 20231113",26.9
"UTEP","wins","Defensive_3PAr","Austin Peay 20231117",36.4
"UTEP","wins","Defensive_3PAr","California 20231120",36.2
"UTEP","wins","Defensive_3PAr","Western New Mexico 20231204",36.8
"UTEP","losses","Defensive_3PAr","Bradley 20231122",26.8
"UTEP","losses","Defensive_3PAr","Loyola Marymount 20231125",47.3
"UTEP","losses","Defensive_3PAr","Texas A&M-CC 20231129",26.5
"UTEP","recency5","Defensive_3Ppct","California 20231120",35.3
"UTEP","recency5","Defensive_3Ppct","Bradley 20231122",20
"UTEP","recency5","Defensive_3Ppct","Loyola Marymount 20231125",26.9
"UTEP","recency5","Defensive_3Ppct","Texas A&M-CC 20231129",38.5
"UTEP","recency5","Defensive_3Ppct","Western New Mexico 20231204",38.1
"UTEP","recency10","Defensive_3Ppct","McMurry 20231106",30
"UTEP","recency10","Defensive_3Ppct","Univ. of Science and A 20231109",22.7
"UTEP","recency10","Defensive_3Ppct","UC Santa Barbara 20231113",35.7
"UTEP","recency10","Defensive_3Ppct","Austin Peay 20231117",30
"UTEP","recency10","Defensive_3Ppct","California 20231120",35.3
"UTEP","recency10","Defensive_3Ppct","Bradley 20231122",20
"UTEP","recency10","Defensive_3Ppct","Loyola Marymount 20231125",26.9
"UTEP","recency10","Defensive_3Ppct","Texas A&M-CC 20231129",38.5
"UTEP","recency10","Defensive_3Ppct","Western New Mexico 20231204",38.1
"UTEP","home","Defensive_3Ppct","McMurry 20231106",30
"UTEP","home","Defensive_3Ppct","Univ. of Science and A 20231109",22.7
"UTEP","home","Defensive_3Ppct","UC Santa Barbara 20231113",35.7
"UTEP","home","Defensive_3Ppct","Austin Peay 20231117",30
"UTEP","home","Defensive_3Ppct","Texas A&M-CC 20231129",38.5
"UTEP","home","Defensive_3Ppct","Western New Mexico 20231204",38.1
"UTEP","away","Defensive_3Ppct","California 20231120",35.3
"UTEP","away","Defensive_3Ppct","Bradley 20231122",20
"UTEP","away","Defensive_3Ppct","Loyola Marymount 20231125",26.9
"UTEP","net100","Defensive_3Ppct","Bradley 20231122",20
"UTEP","wins","Defensive_3Ppct","McMurry 20231106",30
"UTEP","wins","Defensive_3Ppct","Univ. of Science and A 20231109",22.7
"UTEP","wins","Defensive_3Ppct","UC Santa Barbara 20231113",35.7
"UTEP","wins","Defensive_3Ppct","Austin Peay 20231117",30
"UTEP","wins","Defensive_3Ppct","California 20231120",35.3
"UTEP","wins","Defensive_3Ppct","Western New Mexico 20231204",38.1
