"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","oreb","dreb","Dim.1","Dim.2","Dim.3","Dim.4"
"Kevin Porter Jr.","NBA","G","HOU",0.559386973180077,0.601532567049808,0.839080459770115,0.865900383141762,0.206896551724138,0.701149425287356,0.689655172413793,0.840264643807822,-1.00096611926732,-0.379937009944013,1.06947151107177
"Jalen Green","NBA","G","HOU",0.471264367816092,0.701149425287356,0.896551724137931,0.32183908045977,0.0114942528735632,0.210727969348659,0.295019157088123,-0.519873015911415,-2.23563541132301,-1.22464420559091,-0.194416426412835
"Malik Monk","NBA","G","CHOLALSAC",0.727969348659004,0.390804597701149,0.766283524904215,0.582375478927203,0.168582375478927,0.310344827586207,0.46360153256705,-0.929096528779681,-1.30247600250827,-0.173512984885928,0.709223864872305
"Donte DiVincenzo","NBA","G","GSWMILSAC",0.839080459770115,0.14176245210728,0.340996168582375,0.590038314176245,0.888888888888889,0.885057471264368,0.85823754789272,-0.127552568488158,2.23427472328583,0.695633294047632,1.44218719755208
"Tyus Jones","NBA","G","MEM",0.432950191570881,0.494252873563218,0.375478927203065,0.923371647509579,0.85823754789272,0.114942528735632,0.314176245210728,0.325383904819694,-0.373268280347872,2.27963140975584,-0.434525428096262
"Pat Connaughton","NBA","G","MIL",0.896551724137931,0.0459770114942529,0.10727969348659,0.149425287356322,0.743295019157088,0.781609195402299,0.900383141762452,-1.29309974560566,2.85580858492197,-0.240333007050511,1.1669204519035
"Alec Burks","NBA","G","DETNYK",0.743295019157088,0.64367816091954,0.613026819923372,0.459770114942529,0.808429118773946,0.360153256704981,0.919540229885057,0.402886361200924,0.437185401105441,0.366410620391847,1.59818434177444
"Bogdan Bogdanović","NBA","G","ATL",0.869731800766284,0.176245210727969,0.651340996168582,0.448275862068966,0.590038314176245,0.210727969348659,0.582375478927203,-1.40291206786385,-0.132297227513639,0.666093062479133,1.25065675659409
"Patty Mills","NBA","G","BRKSAS",0.946360153256705,0.0651340996168582,0.402298850574713,0.379310344827586,0.111111111111111,0.0268199233716475,0.00766283524904215,-3.1992048516161,-1.05015178451654,0.456099956165587,-0.566049107166247
"Killian Hayes","NBA","G","DET",0.14176245210728,0.574712643678161,0.486590038314176,0.904214559386973,0.731800766283525,0.153256704980843,0.440613026819923,1.09765410533145,-0.733699619558231,1.58980319646914,-0.405594813769474
"Luke Kennard","NBA","G","LACMEM",0.950191570881226,0.103448275862069,0.306513409961686,0.337164750957854,0.452107279693487,0.0613026819923372,0.590038314176245,-2.31823479850287,0.318577215289377,0.627102344707691,0.853315612091376
"Lonnie Walker IV","NBA","G","LALSAS",0.528735632183908,0.455938697318008,0.681992337164751,0.10727969348659,0.187739463601533,0.0421455938697318,0.233716475095785,-1.53589161010016,-1.45191710697334,-0.79968821290785,-0.438567397502391
"Eric Gordon","NBA","G-F","HOULAC",0.655172413793103,0.478927203065134,0.574712643678161,0.425287356321839,0.0459770114942529,0.0268199233716475,0.0114942528735632,-1.78092710842609,-1.95980464266993,-0.0800772553812779,-0.961055732468471
"Delon Wright","NBA","G","ATLDETSACWAS",0.264367816091954,0.681992337164751,0.114942528735632,0.800766283524904,0.992337164750958,0.865900383141762,0.659003831417625,1.97823612707558,1.84833900235434,1.01545903154327,-0.470350536618875
"Max Strus","NBA","G","MIA",0.942528735632184,0.0421455938697318,0.421455938697318,0.222222222222222,0.268199233716475,0.360153256704981,0.501915708812261,-2.42545104463126,0.34518577171368,-0.34618825663752,0.684327325618908
"Torrey Craig","NBA","G-F","INDMILPHO",0.547892720306513,0.260536398467433,0.14176245210728,0.21455938697318,0.720306513409962,0.988505747126437,0.9272030651341,0.089783752440922,2.78577702047426,-0.761795287670755,0.655631111325375
"Cory Joseph","NBA","G","DETSAC",0.379310344827586,0.666666666666667,0.241379310344828,0.846743295019157,0.540229885057471,0.386973180076628,0.206896551724138,0.463483697962767,-0.333018861845059,1.15678625036803,-1.28166604732695
"Ayo Dosunmu","NBA","G","CHI",0.160919540229885,0.613026819923372,0.18007662835249,0.593869731800766,0.662835249042146,0.360153256704981,0.233716475095785,0.553111628312913,0.173150688020347,0.796944848150586,-1.60729552531873
"Shake Milton","NBA","G","PHI",0.183908045977011,0.793103448275862,0.647509578544061,0.670498084291188,0.291187739463602,0.636015325670498,0.295019157088123,1.203736371311,-1.06277089112633,-0.517004420010034,-0.933670646340113
"Matisse Thybulle","NBA","G","PHIPOR",0.413793103448276,0.226053639846743,0.00383141762452107,0.233716475095785,1,0.701149425287356,0.0804597701149425,-0.61053124001928,2.15282939165508,0.780178996559543,-1.81209330624076
"Devin Vassell","NBA","G-F","SAS",0.616858237547893,0.383141762452107,0.559386973180077,0.272030651340996,0.670498084291188,0.310344827586207,0.823754789272031,-0.387419362569777,0.505585693078201,-0.0690028878000317,1.2000890917799
"Talen Horton-Tucker","NBA","G-F","LALUTA",0.10727969348659,0.812260536398467,0.724137931034483,0.659003831417625,0.773946360153257,0.597701149425287,0.659003831417625,2.19333227304272,-0.207923257644061,0.10274585909418,0.146389581681421
"Patrick Beverley","NBA","G","CHILACLALMIN",0.666666666666667,0.32183908045977,0.114942528735632,0.689655172413793,0.911877394636015,0.781609195402299,0.674329501915709,0.257332591696503,2.10438988382414,1.14635407284673,0.313665217398385
"Joe Harris","NBA","G","BRK",0.973180076628352,0.0574712643678161,0.245210727969349,0.187739463601533,0.245210727969349,0.360153256704981,0.333333333333333,-2.77804108126375,0.532450335118558,-0.247050498201543,-0.0253266917340452
"Evan Fournier","NBA","G-F","BOSNYKORL",0.885057471264368,0.21455938697318,0.670498084291188,0.363984674329502,0.551724137931034,0.0613026819923372,0.14176245210728,-2.0617987717521,-0.870027496836047,0.859855319356513,0.103897460758437
"Josh Giddey","NBA","G","OKC",0.0804597701149425,0.716475095785441,0.804597701149425,0.89272030651341,0.567049808429119,0.96551724137931,0.984674329501916,2.8886459713459,0.0995425915602713,-0.465356848461935,1.12057970655741
"Gabe Vincent","NBA","G","MIA",0.800766283524904,0.122605363984674,0.432950191570881,0.578544061302682,0.639846743295019,0.210727969348659,0.0498084291187739,-1.79649009231889,-0.230019298583546,1.52823557116002,-0.491273510204469
"Gary Harris","NBA","G","DENORL",0.754789272030651,0.298850574712644,0.24904214559387,0.241379310344828,0.540229885057471,0.386973180076628,0.00383141762452107,-1.83322603124381,0.381858307664982,0.358481210145585,-1.26954319218906
"T.J. McConnell","NBA","G","IND",0.0459770114942529,0.885057471264368,0.363984674329502,0.988505747126437,0.969348659003831,0.735632183908046,0.697318007662835,3.00667516894833,0.733182721782915,1.14706051777685,-0.318161901729001
"Alex Caruso","NBA","G","CHILAL",0.448275862068966,0.559386973180077,0.0804597701149425,0.708812260536398,0.984674329501916,0.701149425287356,0.567049808429119,0.99980038806508,1.77886479032256,1.26165230508741,-0.437068832027583
"Corey Kispert","NBA","G-F","WAS",0.808429118773946,0.126436781609195,0.168582375478927,0.0766283524904215,0.0613026819923372,0.547892720306513,0.168582375478927,-2.64726467829974,0.547727436256757,-1.07046916432437,-0.966950466779078
"Damion Lee","NBA","G","GSWPHO",0.747126436781609,0.329501915708812,0.233716475095785,0.199233716475096,0.636015325670498,0.547892720306513,0.842911877394636,-0.763897280692035,1.67739329033027,-0.325051036496328,0.861498301118535
"Jamal Murray","NBA","G","DEN",0.567049808429119,0.590038314176245,0.877394636015326,0.735632183908046,0.325670498084291,0.578544061302682,0.383141762452107,0.369888193588679,-1.28133955957759,-0.0929127490276173,0.345399956788244
"Kenrich Williams","NBA","G-F","OKC",0.306513409961686,0.597701149425287,0.206896551724138,0.567049808429119,0.839080459770115,0.984674329501916,0.816091954022989,1.64223438043685,2.06174807138086,-0.0396314183904326,0.0597806038986569
"Landry Shamet","NBA","G","BRKPHO",0.923371647509579,0.114942528735632,0.386973180076628,0.314176245210728,0.291187739463602,0.0613026819923372,0.0498084291187739,-2.89157128428312,-0.634908334796303,0.552276980023144,-0.535682600359711
"Collin Sexton","NBA","G","CLEUTA",0.134099616858238,0.973180076628352,0.9272030651341,0.521072796934866,0.118773946360153,0.735632183908046,0.0153256704980843,1.29952188866308,-2.05506217759382,-1.4291638684097,-1.54490937812349
"Théo Maledon","NBA","G","CHOOKC",0.39463601532567,0.586206896551724,0.540229885057471,0.697318007662835,0.478927203065134,0.210727969348659,0.64367816091954,0.434120932123195,-0.69064126808358,0.526844803683566,0.391373575281407
"Davion Mitchell","NBA","G","SAC",0.348659003831418,0.402298850574713,0.432950191570881,0.727969348659004,0.218390804597701,0.114942528735632,0.0229885057471264,-0.797957914663177,-1.53555927360029,0.775335637130596,-1.36798128828927
"Hamidou Diallo","NBA","G","DETOKC",0.0229885057471264,0.988505747126437,0.716475095785441,0.134099616858238,0.850574712643678,0.938697318007663,0.954022988505747,2.78436054933082,1.07308482403482,-1.70662378467404,0.42949545202676
"Eric Bledsoe","NBA","G","LACNOP",0.371647509578544,0.647509578544061,0.559386973180077,0.693486590038314,0.647509578544061,0.268199233716475,0.501915708812261,0.698182984520421,-0.576354674465716,0.802360123646767,-0.00479193395045611
"Troy Brown Jr.","NBA","G-F","CHILALWAS",0.67816091954023,0.187739463601533,0.0459770114942529,0.222222222222222,0.701149425287356,0.831417624521073,0.869731800766284,-0.583294383711182,2.73033619441874,-0.371105055450344,0.609952453675117
"Garrison Mathews","NBA","G","ATLHOUWAS",0.89272030651341,0.137931034482759,0.137931034482759,0.0268199233716475,0.402298850574713,0.310344827586207,0.187739463601533,-2.76324398658805,0.821804217448103,-0.173240529753725,-0.751273486574889
"Jevon Carter","NBA","G","BRKMILPHO",0.915708812260536,0.0842911877394636,0.206896551724138,0.532567049808429,0.81992337164751,0.386973180076628,0.318007662835249,-1.64634968677518,1.17300886511594,1.586255001501,0.0240851836671226
"Danny Green","NBA","G-F","CLEMEMPHI",0.988505747126437,0.0191570881226054,0.130268199233716,0.191570881226054,0.934865900383142,0.685823754789272,0.409961685823755,-1.82452612511925,2.4587927374865,0.723223937701468,0.12436140606259
"Tre Jones","NBA","G","SAS",0.0344827586206897,0.934865900383142,0.421455938697318,0.9272030651341,0.521072796934866,0.666666666666667,0.375478927203065,2.25986832242895,-0.494811702712978,0.373966014444408,-1.23504912979085
"John Konchar","NBA","G","MEM",0.478927203065134,0.367816091954023,0.0191570881226054,0.42911877394636,0.946360153256705,0.950191570881226,0.96551724137931,0.822172801002539,3.06554595626684,0.14806487062962,0.533557993770082
"Nickeil Alexander-Walker","NBA","G","MINNOPUTA",0.628352490421456,0.371647509578544,0.735632183908046,0.444444444444444,0.574712643678161,0.386973180076628,0.609195402298851,-0.335144757154449,-0.238496611340306,0.0847208049451362,0.954131904228962
