"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","oreb","dreb","Dim.1","Dim.2","Dim.3","Dim.4"
"Caris LeVert","NBA","G-F","BRKCLEIND",0.310344827586207,0.720306513409962,0.804597701149425,0.647509578544061,0.590038314176245,0.597701149425287,0.590038314176245,1.42619608168251,-0.585017452412764,-0.114899196732884,0.374543541105231
"Luguentz Dort","NBA","G","OKC",0.551724137931034,0.551724137931034,0.681992337164751,0.0383141762452107,0.318007662835249,0.831417624521073,0.35632183908046,-0.367833242317562,0.139508636034205,-1.84709633719516,-0.330693788780184
"Kyle Lowry","NBA","G","MIATOR",0.731800766283525,0.39463601532567,0.498084291187739,0.915708812260536,0.762452107279693,0.452107279693487,0.766283524904215,0.339136420198826,0.39752131717449,1.49421870267815,1.30986787508946
"Terance Mann","NBA","G-F","LAC",0.222222222222222,0.78544061302682,0.272030651340996,0.467432950191571,0.616858237547893,0.911877394636015,0.78544061302682,1.74379757857759,1.35144232372593,-0.776591890805183,-0.232343235374949
"Immanuel Quickley","NBA","G","NYK",0.639846743295019,0.544061302681992,0.743295019157088,0.601532567049808,0.620689655172414,0.452107279693487,0.659003831417625,0.322832983209514,-0.304819525405746,0.303915065553739,1.03904334592805
"Tim Hardaway Jr.","NBA","G","DAL",0.842911877394636,0.256704980842912,0.716475095785441,0.0689655172413793,0.176245210727969,0.0421455938697318,0.64367816091954,-2.15239277557593,-0.846778127187849,-0.907470591997933,1.23368509369486
"Scottie Barnes","NBA","G-F","TOR",0.0574712643678161,0.911877394636015,0.593869731800766,0.586206896551724,0.632183908045977,0.992337164750958,0.881226053639847,2.81197778622785,0.68103798586032,-1.00138644545669,0.245990229450243
"Malik Beasley","NBA","G","LALMINUTA",0.961685823754789,0.0689655172413793,0.666666666666667,0.0574712643678161,0.122605363984674,0.268199233716475,0.609195402298851,-2.60827234711034,-0.297944827477685,-1.0976075325094,1.28660413060469
"Deni Avdija","NBA","G-F","WAS",0.272030651340996,0.582375478927203,0.24904214559387,0.402298850574713,0.754789272030651,0.724137931034483,0.988505747126437,1.29805560381503,1.74602514247922,-0.382528362858552,0.530215083091336
"Bradley Beal","NBA","G","WAS",0.145593869731801,0.919540229885057,0.973180076628352,0.662835249042146,0.195402298850575,0.724137931034483,0.35632183908046,1.75375019422319,-1.78697411034542,-1.16135855548722,-0.448076456661731
