"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","oreb","dreb","sim_1","sim_1_url","sim_2","sim_3","sim_4","sim_5","Dim.1","Dim.2","Dim.3","Dim.4","URL","#"
"Andre Henry","SR","G","UC Irvine",0.531610775151182,0.65695437053326,0.570093457943925,0.31500824628917,0.926882902693788,0.854865310610225,0.649807586586036,"Rajon Rondo","https://cdn.nba.com/headshots/nba/latest/260x190/200765.png","Brodric Thomas","Jrue Holiday","Kyle Lowry","Jose Alvarado",1.15505334550421,0.922757451926666,0.972382888003603,0.629880378464651,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702629.png",4
"Blondeau Tchoukuiegno","JR","G","California Baptist",0.373831775700935,0.905992303463442,0.463991203958219,0.519516217702034,0.489279824079164,0.45629466739967,0.264431006047279,"Edmond Sumner","https://cdn.nba.com/headshots/nba/latest/260x190/1628410.png","Keon Johnson","Shake Milton","Josh Christopher","Blake Wesley",0.755446253686645,-0.68080353034756,-0.656307718304315,-0.62551855864079,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4593989.png",3
"Jaylin Jackson-Posey","SR","G","New Mexico State",0.708631115997801,0.518966465090709,0.657504123144585,0.990654205607477,0.157778999450247,0.313358988455195,0.915338097855965,"Will Barton","https://cdn.nba.com/headshots/nba/latest/260x190/203115.png","Nickeil Alexander-Walker","Terry Rozier","Kyle Guy","Immanuel Quickley",-0.060541276554204,-0.523123613320338,-0.420983297216492,0.938479897004808,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4703691.png",0
"Jason Edwards","SO","G","North Texas",0.583287520615723,0.574491478834524,0.990654205607477,0.0472787245739417,0.616822429906542,0,0.169873556899395,"Jordan Clarkson","https://cdn.nba.com/headshots/nba/latest/260x190/203903.png","Chris Duarte","Tre Mann","James Bouknight","Buddy Hield",-0.963397276165136,-0.136182265584704,-1.52979481297622,1.32768905118741,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5175064.png",2
"Carlos Marshall","SR","G","Santa Clara",0.79824079164376,0.500274876305662,0.891148982957669,0.381528312259483,0.51236943375481,0.968114348543156,0.951621770203408,"De'Anthony Melton","https://cdn.nba.com/headshots/nba/latest/260x190/1629001.png","Donte DiVincenzo","Dylan Windler","Kent Bazemore","Davon Reed",0.639735262884734,2.00592431930697,0.116973888894836,1.48981879551094,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4593725.png",22
"Corey Camper Jr.","JR","G","UTEP",0.507421660252886,0.506871907641561,0.324354040681693,0.19846069268829,0.410665200659703,0.693238042880704,0.0263881253435954,"Amir Coffey","https://cdn.nba.com/headshots/nba/latest/260x190/1629599.png","Joshua Primo","Rodney Hood","Josh Richardson","Daishen Nix",-0.577080167395543,0.474318109408578,-0.374640975113431,-1.40543011437937,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5177690.png",4
"Pierre Crockrell","SR","G","UC Irvine",0,0.823529411764706,0.365585486531061,0.9978009895547,0.210555250137438,0.0764156129741616,0.128092358438703,"Collin Sexton","https://cdn.nba.com/headshots/nba/latest/260x190/1629012.png","Lou Williams","Brandon Williams","Cam Thomas","Jaden Ivey",0.683695732386241,-2.66647692072171,-1.42949721041954,-1.36629385859671,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432962.png",3
"C.J. Noland","JR","G","North Texas",0.588785046728972,0.610225398570643,0.713578889499725,0.48323254535459,0.888949972512369,0.368334249587686,0.472237493128092,"Immanuel Quickley","https://cdn.nba.com/headshots/nba/latest/260x190/1630193.png","Nickeil Alexander-Walker","Victor Oladipo","Donovan Mitchell","Desmond Bane",0.245433147627154,-0.448609743581285,0.282968973234414,1.22077827972771,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4694228.png",22
"Jaylen Forbes","SR","G","Tulane",0.498075865860363,0.507421660252886,0.686641011544805,0.300164925783397,0.37218251786696,0.416712479384277,0.222100054975261,"Justin Jackson","https://cdn.nba.com/headshots/nba/latest/260x190/1628382.png","Luguentz Dort","Chris Duarte","Kyle Guy","Danuel House Jr.",-0.51915599726707,0.138520627234666,-1.09626447376682,-0.0528440717906715,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431722.png",25
"Micah Peavy","SR","G","TCU",0.330401319406267,0.391973611874656,0.604178119846069,0.814183617372182,0.68389224848818,0.726223199560198,0.566245189664651,"Donovan Mitchell","https://cdn.nba.com/headshots/nba/latest/260x190/1628378.png","Théo Maledon","Eric Bledsoe","Caris LeVert","Immanuel Quickley",0.843097612041995,-0.404406251369797,0.459331057648773,0.384993564069818,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432185.png",0
"Jalen Benjamin","SR","G","Santa Clara",0.719626168224299,0.287520615722925,0.700384826827927,0.688840021990104,0.263881253435954,0.186366135239142,0.275426058273777,"Tre Mann","https://cdn.nba.com/headshots/nba/latest/260x190/1630544.png","Jordan Clarkson","Tim Hardaway Jr.","Kyle Guy","Kendrick Nunn",-1.50403685822477,-0.820497814532577,-0.96014225582692,0.485633619291093,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431903.png",15
"Derin Saran","FR","G","UC Irvine",0.223749312809236,0.82957669048928,0.935678944474986,0.7152281473337,0.712479384277075,0.923034634414513,0.728971962616822,"Josh Giddey","https://cdn.nba.com/headshots/nba/latest/260x190/1630581.png","Dejounte Murray","Talen Horton-Tucker","Cade Cunningham","Dalano Banton",2.47818244422639,0.215779312225726,-0.355649583901583,1.03578105523219,"https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5176395.png",1
