"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","rim_protector","oreb","dreb","Dim.1","Dim.2","Dim.3","Dim.4"
"Zeke Nnaji","NBA","F","DEN",0.482954545454545,0.545454545454545,0.272727272727273,0.0340909090909091,0.0795454545454545,0.198863636363636,0.840909090909091,0.232954545454545,-1.01659040510997,-1.6965410924386,-2.08128091911753,-0.438355009827135
"Tari Eason","NBA","F","HOU",0.267045454545455,0.710227272727273,0.704545454545455,0.147727272727273,0.607954545454545,0.505681818181818,0.948863636363636,0.75,1.44797720652647,-1.53349273222909,-0.594237319881746,0.87486217807978
"Nemanja Bjelica","NBA","F","GSWMIASAC",0.494318181818182,0.471590909090909,0.613636363636364,0.920454545454545,0.835227272727273,0.75,0.698863636363636,0.852272727272727,1.70216218259221,1.02760608272471,0.895648978090419,0.780715555961609
"Timothé Luwawu-Cabarrot","NBA","F","ATLBRK",0.875,0.130681818181818,0.4375,0.465909090909091,0.153409090909091,0.0340909090909091,0.176136363636364,0.0568181818181818,-3.19893385635206,0.119116937507251,-0.0681070366104638,-0.619452840947871
"Solomon Hill","NBA","F","ATL",0.840909090909091,0.0795454545454545,0.0170454545454545,0.647727272727273,0.761363636363636,0.482954545454545,0.204545454545455,0.181818181818182,-1.47364755082171,2.53629680329807,-0.672425347854871,-0.437004038463221
"Kevin Knox","NBA","F","ATLDETNYKPOR",0.8125,0.215909090909091,0.613636363636364,0.0454545454545455,0.181818181818182,0.113636363636364,0.346590909090909,0.460227272727273,-2.3899422008252,-1.01535332642195,-0.380742137915731,0.935583132800387
"Maurice Harkless","NBA","F-G","MIASAC",0.443181818181818,0.289772727272727,0.0511363636363636,0.4375,0.704545454545455,0.693181818181818,0.0397727272727273,0.159090909090909,-0.679831249011841,1.86177705535641,-0.682020268567411,-0.953965758555589
"Wenyen Gabriel","NBA","F","BRKLACLALNOP",0.170454545454545,0.875,0.318181818181818,0.142045454545455,0.340909090909091,0.5625,0.9375,0.602272727272727,1.46142967055315,-1.6485261436107,-1.61431420842622,-0.158239781835081
"Anthony Lamb","NBA","F","GSWHOUSAS",0.784090909090909,0.159090909090909,0.255681818181818,0.744318181818182,0.306818181818182,0.352272727272727,0.653409090909091,0.3125,-1.23317445221425,0.779620479985998,-0.676413906351678,-0.191502062218803
"Isaiah Livers","NBA","F","DET",0.931818181818182,0.0738636363636364,0.0965909090909091,0.403409090909091,0.397727272727273,0.4375,0.159090909090909,0.102272727272727,-2.4488508852588,1.56921439536025,-0.9530762177172,-0.243495604537538
"Paul Millsap","NBA","F","BRKDENPHI",0.335227272727273,0.573863636363636,0.625,0.698863636363636,0.784090909090909,0.829545454545455,0.840909090909091,0.738636363636364,2.04074285835563,0.37057342879,0.25652505055001,0.583799387804479
"Jeremy Sochan","NBA","F","SAS",0.130681818181818,0.732954545454545,0.755681818181818,0.801136363636364,0.136363636363636,0.0965909090909091,0.778409090909091,0.482954545454545,0.404608190628773,-1.9996942982181,0.690917967363947,-1.2208598623775
"Sam Hauser","NBA","F","BOS",1,0,0.295454545454545,0.511363636363636,0.596590909090909,0.573863636363636,0.1875,0.380681818181818,-1.79478094643757,1.98799067677591,-0.178581066917318,0.778260896690044
"Eric Paschall","NBA","F","GSWUTA",0.340909090909091,0.806818181818182,0.829545454545455,0.306818181818182,0.0738636363636364,0.0738636363636364,0.477272727272727,0.232954545454545,-0.955600409682741,-2.41710496526723,0.422072188168005,-1.0826251272774
"AJ Griffin","NBA","F","ATL",0.789772727272727,0.221590909090909,0.602272727272727,0.181818181818182,0.346590909090909,0.181818181818182,0.159090909090909,0.0113636363636364,-2.78048591185689,-0.114713451731514,-0.0888718043189792,-0.305065647612322
"Kessler Edwards","NBA","F","BRKSAC",0.738636363636364,0.170454545454545,0.204545454545455,0.215909090909091,0.278409090909091,0.323863636363636,0.647727272727273,0.232954545454545,-1.66881144215183,0.0350284021014658,-1.72548316487628,0.131845820682206
"Jericho Sims","NBA","F","NYK",0.0113636363636364,0.9375,0.00568181818181818,0.573863636363636,0.664772727272727,0.903409090909091,0.971590909090909,0.829545454545455,3.34718055717031,-0.00314524968762863,-1.51512924023052,-0.417094325927963
"CJ Elleby","NBA","F","POR",0.346590909090909,0.511363636363636,0.346590909090909,0.721590909090909,0.113636363636364,0.107954545454545,0.704545454545455,0.431818181818182,-0.42000893698859,-1.00306446350918,-0.413548792313597,-1.06409039777786
"Semi Ojeleye","NBA","F","BOSLACMIL",0.852272727272727,0.147727272727273,0.0965909090909091,0.232954545454545,0.102272727272727,0.0454545454545455,0.511363636363636,0.267045454545455,-2.59029462890558,-0.223789630702925,-1.71610966554381,-0.0431049675388057
"Vlatko Čančar","NBA","F","DEN",0.590909090909091,0.375,0.238636363636364,0.806818181818182,0.420454545454545,0.386363636363636,0.323863636363636,0.335227272727273,-0.766609623068511,0.934919102093631,0.041710424652691,-0.890939377439755
"Anthony Gill","NBA","F","WAS",0.176136363636364,0.897727272727273,0.193181818181818,0.539772727272727,0.147727272727273,0.261363636363636,0.818181818181818,0.181818181818182,0.404313425295099,-1.41616502120695,-1.27906816047766,-2.06818208327534
"Trevor Ariza","NBA","F","LALMIA",0.778409090909091,0.153409090909091,0.215909090909091,0.670454545454545,0.590909090909091,0.528409090909091,0.204545454545455,0.539772727272727,-0.949889186238499,1.74195258238577,0.0135643254127344,0.339243151156635
"Ish Wainright","NBA","F","PHO",0.886363636363636,0.0681818181818182,0.159090909090909,0.505681818181818,0.9375,0.806818181818182,0.727272727272727,0.0681818181818182,-0.492619783913534,2.55622205898035,-1.49649746580589,0.24795571038171
"David Roddy","NBA","F","MEM",0.596590909090909,0.261363636363636,0.494318181818182,0.147727272727273,0.232954545454545,0.232954545454545,0.403409090909091,0.159090909090909,-1.98785699674715,-0.6648705930612,-0.759955445763183,-0.20782898310125
"Paul Reed","NBA","F","PHI",0.0397727272727273,0.886363636363636,0.539772727272727,0.1875,1,0.994318181818182,1,0.880681818181818,3.52070283751951,-0.482341848986774,-0.846763620582504,0.92076699710324
"JT Thor","NBA","F","CHO",0.528409090909091,0.346590909090909,0.159090909090909,0.369318181818182,0.369318181818182,0.534090909090909,0.375,0.232954545454545,-0.899677381329929,0.529362651556658,-1.08186641091408,-0.574453349439677
