"school","logo","type","color","alt_color","wordmark","belong","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Memphis","http://a.espncdn.com/i/teamlogos/ncaa/500/235.png","G5","#002447","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/memphis_tigers_logo_wordmark_2021_sportslogosnet-8745.png",1,9,7,2,0.778,11.63,6.07,365,247,540,0.457,74,207,0.357,149,204,0.73,100,337,118,77,43,126,162,365,233,580,0.402,78,247,0.316,123,166,0.741,127,349,110,67,36,126,176,72.4,108.6,0.378,0.383,0.563,49.1,47.8,11.7,12.9,0.526,16.5,31.1,0.276,72.4,101.1,0.286,0.426,0.506,50.9,47.2,10.2,10.8,0.469,16.1,34.9,0.212,0.519519519519519,65.1
"Miami","http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png","P5","#004325","#f0f0f0","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2537_miami_wordmark.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michigan State","http://a.espncdn.com/i/teamlogos/ncaa/500/127.png","P5","#18453B","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/michigan_state_spartans_logo_wordmark_2010_sportslogosnet-9157.png",1,9,4,5,0.444,15.13,7.57,365,242,539,0.449,49,166,0.295,118,173,0.682,98,331,147,61,40,96,151,365,196,509,0.385,65,211,0.308,126,171,0.737,95,327,113,55,29,117,168,67.5,105.7,0.321,0.308,0.524,50.3,60.7,9.9,13.4,0.494,13.4,29.7,0.219,67.5,94.6,0.336,0.415,0.494,49.7,57.7,8.9,7.8,0.449,16.5,29,0.248,0.517426273458445,71
"Mississippi State","http://a.espncdn.com/i/teamlogos/ncaa/500/344.png","P5","#762123","#c8c8c8","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8440_mississippi_state_bulldogs-wordmark-2009.png",1,9,7,2,0.778,15.81,2.36,360,237,543,0.436,75,240,0.313,130,182,0.714,111,378,139,79,30,124,153,360,193,519,0.372,50,201,0.249,122,179,0.682,86,303,88,79,24,120,161,71.1,106.1,0.335,0.442,0.539,55.5,58.6,12.3,9.4,0.506,16.5,33.8,0.239,71.1,87.2,0.345,0.387,0.462,44.5,45.6,12.3,7.9,0.42,16.6,24.4,0.235,0.534653465346535,75.6
"Nevada","http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png","G5","#153E5F","#8e9295","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/5309_nevada_wolf_pack-primary-2008.png",1,8,7,1,0.875,12.79,-1.33,320,213,460,0.463,42,131,0.321,171,231,0.74,78,318,119,37,32,77,143,320,191,486,0.393,68,220,0.309,76,128,0.594,76,273,112,39,29,100,198,71.2,112.1,0.502,0.285,0.561,53.8,55.9,6.5,12,0.509,11.9,28.4,0.372,71.2,92.3,0.263,0.453,0.481,46.2,58.6,6.8,8.8,0.463,15.5,24.1,0.156,0.519756838905775,75.9
"New Mexico","http://a.espncdn.com/i/teamlogos/ncaa/500/167.png","G5","#000000","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/new_mexico_lobos_logo_secondary_2017_sportslogosnet-2427.png",1,10,9,1,0.9,18.74,0.84,400,312,648,0.481,65,186,0.349,172,246,0.699,125,407,166,94,44,107,191,400,230,578,0.398,63,205,0.307,159,215,0.74,94,346,121,54,39,161,202,74.7,115.3,0.38,0.287,0.563,54.1,53.2,12.6,11.8,0.532,12.3,33.2,0.265,74.7,91.3,0.372,0.355,0.501,45.9,52.6,7.2,8.4,0.452,19.1,25,0.275,0.534632034632035,75
"New Mexico State","http://a.espncdn.com/i/teamlogos/ncaa/500/166.png","G5","#891216","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/new_mexico_state_aggies_logo_wordmark_20056268.png",0,10,4,6,0.4,-13.65,5.49,410,247,575,0.43,67,197,0.34,157,220,0.714,93,356,133,66,21,127,216,410,238,559,0.426,94,266,0.353,177,259,0.683,87,331,150,73,29,124,182,69.9,100.3,0.383,0.343,0.528,51.8,53.8,9.2,7.2,0.488,15.7,27.6,0.273,69.9,104.3,0.463,0.476,0.548,48.2,63,10.2,7.7,0.51,15.4,24.9,0.317,0.476190476190476,75.1
"North Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/153.png","P5","#99bfe5","#13294b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_carolina_tar_heels_logo_wordmark_19965588.png",1,9,7,2,0.778,17.75,6.31,365,253,553,0.458,69,192,0.359,191,252,0.758,108,349,131,48,39,91,148,365,242,563,0.43,74,227,0.326,105,141,0.745,84,305,108,52,29,110,195,71.9,116.8,0.456,0.347,0.569,53.4,51.8,7.3,11.6,0.52,11.9,32.8,0.345,71.9,101.1,0.25,0.403,0.526,46.6,44.6,7.9,8,0.496,14.9,25.8,0.187,0.509695290858726,74.2
"North Texas","http://a.espncdn.com/i/teamlogos/ncaa/500/249.png","G5","#00853D","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_texas_mean_green_logo_wordmark_20051155.png",0,9,5,4,0.556,6.48,-1.4,365,215,494,0.435,71,189,0.376,117,151,0.775,104,323,97,68,29,112,147,365,186,472,0.394,52,164,0.317,102,149,0.685,90,278,86,59,26,126,140,63.2,107.3,0.306,0.383,0.546,53.7,45.1,11.8,9.4,0.507,16.5,35.6,0.237,63.2,91.3,0.316,0.347,0.485,46.3,46.2,10.2,8.5,0.449,18.8,29.1,0.216,0.472131147540984,70.9
"Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png","P5","#DE3121","#666666","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2586_ohio_state_buckeyes-wordmark-2013.png",1,10,8,2,0.8,17.37,3.87,401,277,587,0.472,88,218,0.404,166,218,0.761,128,386,161,61,43,110,172,401,246,580,0.424,75,220,0.341,106,164,0.646,109,317,98,55,21,124,198,67.3,120.1,0.371,0.371,0.585,54.9,58.1,9.1,11.9,0.547,13.7,38.1,0.283,67.3,100,0.283,0.379,0.511,45.1,39.8,8.2,5.7,0.489,15.9,29.7,0.183,0.51219512195122,70.3
"Oklahoma","http://a.espncdn.com/i/teamlogos/ncaa/500/201.png","P5","#7b0000","#cccccc","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/oklahoma_sooners_logo_wordmark_2008_sportslogosnet-1138.png",1,9,9,0,1,18.8,-3.09,360,276,542,0.509,72,204,0.353,139,176,0.79,101,355,132,69,40,115,141,360,201,525,0.383,45,175,0.257,119,159,0.748,86,271,80,60,38,127,158,71.2,119,0.325,0.376,0.61,56.7,47.8,10.8,11.4,0.576,15.5,35.3,0.256,71.2,88.3,0.303,0.333,0.471,43.3,39.8,9.4,11.2,0.426,17.5,25.3,0.227,0.603550295857988,74.7
"Oregon","http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png","P5","#044520","#fee123","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/oregon_ducks_wordmark.png",1,9,7,2,0.778,13.48,2.92,365,261,542,0.482,71,183,0.388,129,199,0.648,95,339,133,70,29,97,159,365,220,518,0.425,59,182,0.324,128,184,0.696,87,308,92,44,29,121,183,70,113,0.367,0.338,0.567,52.4,51,11,8.6,0.547,13.2,30.1,0.238,70,98.1,0.355,0.351,0.518,47.6,41.8,6.9,8.1,0.482,16.7,26.3,0.247,0.52924791086351,73.7
