"player","class","pos","team","stretch_big","draws_fouls","passing_big","limit_to","rim_protector","oreb","dreb"
"Robert Covington","NBA","F-C","LACPOR",0.989583333333333,0.03125,0.34375,0.822916666666667,0.78125,0,0.260416666666667
"Kristaps Porziņģis","NBA","F-C","DALWAS",0.84375,0.541666666666667,0.708333333333333,0.614583333333333,0.479166666666667,0.1875,0.541666666666667
"Wendell Carter Jr.","NBA","C","CHIORL",0.739583333333333,0.489583333333333,0.770833333333333,0.5625,0.229166666666667,0.333333333333333,0.770833333333333
"Kevon Looney","NBA","F-C","GSW",0.260416666666667,0.572916666666667,0.791666666666667,0.96875,0.583333333333333,0.822916666666667,0.604166666666667
"Steven Adams","NBA","C","MEMNOP",0.0729166666666667,0.90625,0.75,0.8125,0.4375,0.989583333333333,0.479166666666667
"Al Horford","NBA","C-F","BOSOKC",0.96875,0,0.84375,1,0.739583333333333,0.0625,0.34375
"Kelly Olynyk","NBA","C-F","DETHOUMIAUTA",0.927083333333333,0.46875,0.90625,0.6875,0.416666666666667,0.0729166666666667,0.34375
"Isaiah Stewart","NBA","F-C","DET",0.666666666666667,0.21875,0.28125,0.4375,0.333333333333333,0.604166666666667,0.59375
"Brook Lopez","NBA","C","MIL",0.885416666666667,0.09375,0.0833333333333333,0.479166666666667,0.791666666666667,0.177083333333333,0.03125
"Myles Turner","NBA","C-F","IND",0.833333333333333,0.520833333333333,0.177083333333333,0.291666666666667,0.96875,0.09375,0.375
"Anthony Davis","NBA","F-C","LAL",0.385416666666667,0.71875,0.8125,0.572916666666667,0.864583333333333,0.364583333333333,0.645833333333333
"Mitchell Robinson","NBA","C","NYK",0,0.84375,0.03125,0.645833333333333,0.916666666666667,0.958333333333333,0.25
"Dwight Powell","NBA","F-C","DAL",0.354166666666667,0.958333333333333,0.4375,0.729166666666667,0.291666666666667,0.552083333333333,0.0520833333333333
"Montrezl Harrell","NBA","F-C","CHOLALPHIWAS",0.166666666666667,0.885416666666667,0.614583333333333,0.697916666666667,0.34375,0.5625,0.1875
"Jusuf Nurkić","NBA","C","POR",0.53125,0.739583333333333,0.885416666666667,0.260416666666667,0.46875,0.510416666666667,0.9375
"Nic Claxton","NBA","C","BRK",0.1875,0.760416666666667,0.479166666666667,0.770833333333333,0.947916666666667,0.427083333333333,0.541666666666667
"Alperen Şengün","NBA","C-F","HOU",0.46875,0.6875,0.9375,0.34375,0.458333333333333,0.604166666666667,0.375
"Robert Williams","NBA","C-F","BOS",0.0833333333333333,0.208333333333333,0.635416666666667,0.864583333333333,0.979166666666667,0.84375,0.53125
"Andre Drummond","NBA","C","BRKCHICLELALPHI",0.125,0.65625,0.697916666666667,0.03125,0.65625,0.96875,1
"Larry Nance Jr.","NBA","F-C","CLENOPPOR",0.71875,0.104166666666667,0.75,0.9375,0.541666666666667,0.21875,0.291666666666667
"Mo Bamba","NBA","C","LALORL",0.9375,0.0625,0.416666666666667,0.604166666666667,0.822916666666667,0.364583333333333,0.71875
"Marvin Bagley III","NBA","F-C","DETSAC",0.59375,0.25,0.125,0.364583333333333,0.03125,0.489583333333333,0.40625
"Richaun Holmes","NBA","C-F","SAC",0.458333333333333,0.364583333333333,0.34375,0.520833333333333,0.385416666666667,0.385416666666667,0.458333333333333
"Zion Williamson","NBA","F-C","NOP",0.40625,0.916666666666667,0.958333333333333,0.302083333333333,0.166666666666667,0.3125,0.0625
"Moritz Wagner","NBA","F-C","BOSORLWAS",0.822916666666667,0.677083333333333,0.739583333333333,0.541666666666667,0.114583333333333,0.104166666666667,0.270833333333333
"Bismack Biyombo","NBA","C-F","CHOPHO",0.0520833333333333,0.78125,0.458333333333333,0.427083333333333,0.90625,0.635416666666667,0.270833333333333
"Blake Griffin","NBA","F-C","BOSBRKDET",0.895833333333333,0.260416666666667,0.84375,0.958333333333333,0.135416666666667,0.125,0.208333333333333
"Daniel Theis","NBA","C","BOSCHIHOUIND",0.75,0.145833333333333,0.53125,0.71875,0.375,0.145833333333333,0.1875
"Khem Birch","NBA","C-F","ORLTOR",0.3125,0.510416666666667,0.458333333333333,0.895833333333333,0.3125,0.645833333333333,0.0416666666666667
"Chimezie Metu","NBA","F-C","SAC",0.729166666666667,0.15625,0.385416666666667,0.46875,0.21875,0.0729166666666667,0.635416666666667
"DeAndre Jordan","NBA","C","BRKDENLALPHI",0.552083333333333,0.614583333333333,0.510416666666667,0.135416666666667,0.697916666666667,0.677083333333333,0.822916666666667
"Taj Gibson","NBA","F-C","NYKWAS",0.520833333333333,0.5,0.208333333333333,0.791666666666667,0.71875,0.489583333333333,0.09375
"Nerlens Noel","NBA","C-F","BRKDETNYK",0.177083333333333,0.59375,0.0729166666666667,0.385416666666667,0.989583333333333,0.40625,0.21875
"Robin Lopez","NBA","C","CLEORLWAS",0.416666666666667,0.40625,0.552083333333333,0.21875,0.145833333333333,0.572916666666667,0
"JaVale McGee","NBA","C","CLEDALDENPHO",0.270833333333333,0.385416666666667,0.270833333333333,0,0.854166666666667,0.802083333333333,0.833333333333333
