"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","oreb","dreb"
"Tim Hardaway Jr.","NBA","G","DAL",0.842911877394636,0.256704980842912,0.716475095785441,0.0689655172413793,0.176245210727969,0.0421455938697318,0.64367816091954
"Scottie Barnes","NBA","G-F","TOR",0.0574712643678161,0.911877394636015,0.593869731800766,0.586206896551724,0.632183908045977,0.992337164750958,0.881226053639847
"Malik Beasley","NBA","G","LALMINUTA",0.961685823754789,0.0689655172413793,0.666666666666667,0.0574712643678161,0.122605363984674,0.268199233716475,0.609195402298851
"Deni Avdija","NBA","G-F","WAS",0.272030651340996,0.582375478927203,0.24904214559387,0.402298850574713,0.754789272030651,0.724137931034483,0.988505747126437
"Bradley Beal","NBA","G","WAS",0.145593869731801,0.919540229885057,0.973180076628352,0.662835249042146,0.195402298850575,0.724137931034483,0.35632183908046
"Norman Powell","NBA","G","LACPORTOR",0.53639846743295,0.777777777777778,0.823754789272031,0.0421455938697318,0.348659003831418,0.268199233716475,0.233716475095785
"Kyrie Irving","NBA","G","BRKDAL",0.521072796934866,0.655172413793103,0.957854406130268,0.739463601532567,0.444444444444444,0.636015325670498,0.574712643678161
"LaMelo Ball","NBA","G","CHO",0.689655172413793,0.517241379310345,0.938697318007663,0.950191570881226,0.789272030651341,0.862068965517241,0.942528735632184
"Devonte' Graham","NBA","G","CHONOPSAS",0.919540229885057,0.130268199233716,0.586206896551724,0.766283524904215,0.348659003831418,0.153256704980843,0.0766283524904215
"Monte Morris","NBA","G","DENWAS",0.402298850574713,0.524904214559387,0.340996168582375,0.804597701149425,0.390804597701149,0.103448275862069,0.272030651340996
"Franz Wagner","NBA","G-F","ORL",0.191570881226054,0.81992337164751,0.743295019157088,0.475095785440613,0.459770114942529,0.735632183908046,0.524904214559387
"Grayson Allen","NBA","G","MEMMIL",0.873563218390805,0.149425287356322,0.24904214559387,0.310344827586207,0.685823754789272,0.509578544061303,0.333333333333333
"Will Barton","NBA","G","DENTORWAS",0.582375478927203,0.440613026819923,0.597701149425287,0.498084291187739,0.329501915708812,0.42911877394636,0.747126436781609
"Duncan Robinson","NBA","G-F","MIA",0.992337164750958,0.0153256704980843,0.383141762452107,0.176245210727969,0.306513409961686,0.0229885057471264,0.425287356321839
"Seth Curry","NBA","G","BRKPHI",0.781609195402299,0.306513409961686,0.46360153256705,0.471264367816092,0.35632183908046,0.0268199233716475,0.10727969348659
"Anfernee Simons","NBA","G","POR",0.865900383141762,0.24904214559387,0.800766283524904,0.528735632183908,0.00766283524904215,0.0804597701149425,0.130268199233716
"Josh Richardson","NBA","G","BOSDALNOPSAS",0.544061302681992,0.452107279693487,0.455938697318008,0.398467432950192,0.689655172413793,0.685823754789272,0.206896551724138
"Cole Anthony","NBA","G","ORL",0.337164750957854,0.754789272030651,0.81992337164751,0.812260536398467,0.379310344827586,0.578544061302682,0.9272030651341
"Malcolm Brogdon","NBA","G","BOSIND",0.467432950191571,0.685823754789272,0.842911877394636,0.762452107279693,0.467432950191571,0.685823754789272,0.804597701149425
"De'Anthony Melton","NBA","G","MEMPHI",0.81992337164751,0.241379310344828,0.498084291187739,0.490421455938697,0.977011494252874,0.789272030651341,0.835249042145594
"Miles Bridges","NBA","G-F","CHO",0.360153256704981,0.659003831417625,0.636015325670498,0.409961685823755,0.517241379310345,0.808429118773946,0.954022988505747
"Spencer Dinwiddie","NBA","G","BRKDALWAS",0.46360153256705,0.708812260536398,0.701149425287356,0.85823754789272,0.344827586206897,0.210727969348659,0.524904214559387
"Kevin Porter Jr.","NBA","G","HOU",0.559386973180077,0.601532567049808,0.839080459770115,0.865900383141762,0.206896551724138,0.701149425287356,0.689655172413793
"Jalen Green","NBA","G","HOU",0.471264367816092,0.701149425287356,0.896551724137931,0.32183908045977,0.0114942528735632,0.210727969348659,0.295019157088123
"Malik Monk","NBA","G","CHOLALSAC",0.727969348659004,0.390804597701149,0.766283524904215,0.582375478927203,0.168582375478927,0.310344827586207,0.46360153256705
"Donte DiVincenzo","NBA","G","GSWMILSAC",0.839080459770115,0.14176245210728,0.340996168582375,0.590038314176245,0.888888888888889,0.885057471264368,0.85823754789272
