"school","logo","type","color","alt_color","wordmark","belong","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Oregon","http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png","P5","#044520","#fee123","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/oregon_ducks_wordmark.png",0,7,5,2,0.714,11.16,3.74,285,210,446,0.471,58,148,0.392,97,159,0.61,84,273,104,53,25,65,124,285,183,414,0.442,52,152,0.342,105,145,0.724,67,249,79,30,25,89,143,70.7,114.1,0.357,0.332,0.551,52.3,49.5,10.5,9.5,0.536,11.1,31.6,0.217,70.7,103.8,0.35,0.367,0.542,47.7,43.2,6,8.4,0.505,15.6,26.2,0.254,0.51006711409396,73.8
"Purdue","http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png","P5","#B89D29","#a4a9ad","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/purdue_boilermakers_logo_wordmark_20121876.png",1,9,8,1,0.889,28.26,10.59,365,259,527,0.491,75,189,0.397,171,243,0.704,102,383,158,46,45,113,134,365,227,587,0.387,63,234,0.269,88,133,0.662,89,276,130,73,16,88,195,71.4,117.4,0.461,0.359,0.595,58.1,61,7.1,12.7,0.563,15,35.3,0.324,71.4,92.9,0.227,0.399,0.465,41.9,57.3,11.2,4.7,0.44,11.9,24.1,0.15,0.544378698224852,75.9
"San Diego State","http://a.espncdn.com/i/teamlogos/ncaa/500/21.png","G5","#BF2C37","#a8996e","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/san_diego_state_aztecs_logo_wordmark_20135405.png",1,9,7,2,0.778,15.76,8.13,370,238,542,0.439,67,199,0.337,155,216,0.718,106,348,136,77,31,97,154,370,217,543,0.4,71,240,0.296,112,154,0.727,97,327,112,55,26,116,183,68.7,109.9,0.399,0.367,0.541,51.6,57.1,12.1,10.2,0.501,13.1,31.5,0.286,68.7,97.2,0.284,0.442,0.501,48.4,51.6,8.7,7.6,0.465,15.8,28.6,0.206,0.498542274052478,71.4
"Syracuse","http://a.espncdn.com/i/teamlogos/ncaa/500/183.png","P5","#F37321","#0d1d37","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/syracuse_orange_logo_wordmark_2015_sportslogosnet-2819.png",0,9,6,3,0.667,8.32,7.94,360,254,586,0.433,71,219,0.324,113,156,0.724,106,347,122,79,49,107,129,360,240,567,0.423,69,218,0.317,91,138,0.659,114,359,130,60,22,138,140,73.2,105,0.266,0.374,0.524,49.2,48,12,14,0.494,13.9,30.2,0.193,73.2,97.1,0.243,0.384,0.506,50.8,54.2,9.1,6,0.484,17.9,32.1,0.16,0.498637602179836,67.9
"TCU","http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png","P5","#3C377D","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tcu_horned_frogs_logo_wordmark_2013_sportslogosnet-8595.png",0,7,7,0,1,13.28,-12.29,280,243,454,0.535,46,136,0.338,110,146,0.753,81,275,155,83,43,90,119,280,172,409,0.421,43,122,0.352,76,125,0.608,70,212,92,47,20,129,113,75.7,121.1,0.322,0.3,0.613,56.5,63.8,15.7,15,0.586,14.7,36.3,0.242,75.7,87.4,0.306,0.298,0.494,43.5,53.5,8.9,6.3,0.473,21.6,26.5,0.186,0.619496855345912,73.5
"Tennessee","http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png","P5","#EE9627","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tennessee_volunteers_logo_wordmark_20052034.png",1,8,5,3,0.625,21.51,10.76,320,216,494,0.437,68,205,0.332,121,159,0.761,80,302,123,60,39,81,151,320,181,456,0.397,55,173,0.318,118,186,0.634,76,278,95,42,20,108,134,71.7,108.4,0.322,0.415,0.545,52.1,56.9,10.5,13.8,0.506,12.5,28.4,0.245,71.7,93.4,0.408,0.379,0.491,47.9,52.5,7.3,6.9,0.457,16.6,25.5,0.259,0.512110726643599,74.5
"Texas","http://a.espncdn.com/i/teamlogos/ncaa/500/251.png","P5","#EE7524","#f0f0f0","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/texas_longhorns_logo_wordmark_2000_sportslogosnet-1899.png",1,8,6,2,0.75,11,0.13,320,235,477,0.493,56,158,0.354,108,149,0.725,84,294,136,61,44,97,135,320,192,466,0.412,46,146,0.315,117,156,0.75,84,267,93,57,26,104,138,70.1,113.2,0.312,0.331,0.579,52.4,57.9,10.9,13.8,0.551,15,31.5,0.226,70.1,97.7,0.335,0.313,0.506,47.6,48.4,10.2,8.2,0.461,16.1,28.6,0.251,0.561128526645768,71.4
"Texas A&M","http://a.espncdn.com/i/teamlogos/ncaa/500/245.png","P5","#5C0025","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2346_texas_a&m_aggies-wordmark-2001.png",1,9,7,2,0.778,19.08,9.97,360,250,573,0.436,62,207,0.3,129,178,0.725,159,376,113,61,27,84,140,360,211,498,0.424,77,222,0.347,110,154,0.714,84,272,117,46,44,100,165,65,118.1,0.311,0.361,0.525,58,45.2,10.4,9.8,0.49,11.3,45.8,0.225,65,104.1,0.309,0.446,0.533,42,55.5,7.9,12,0.501,14.9,27.9,0.221,0.513661202185792,72.1
"Tulane","http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png","G5","#005837","#3baf29","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/6263_tulane_green_wave-wordmark-2014.png",0,7,6,1,0.857,9.31,-3.69,280,204,384,0.531,40,129,0.31,171,220,0.777,37,219,89,74,25,81,114,280,191,450,0.424,59,190,0.311,87,121,0.719,90,255,90,47,13,117,161,76.2,116.1,0.573,0.336,0.634,46.2,43.6,13.9,9.6,0.583,14.2,18.3,0.445,76.2,99.1,0.269,0.422,0.52,53.8,47.1,8.8,5.1,0.49,18.7,33.1,0.193,0.643137254901961,66.9
"UTEP","http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png","G5","#002843","#ff6f12","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2713_utep-wordmark.png",0,9,6,3,0.667,-3.25,-2.59,360,262,545,0.481,51,174,0.293,162,240,0.675,112,345,158,104,37,129,182,360,205,504,0.407,54,178,0.303,149,209,0.713,94,307,94,66,30,166,189,75.1,109,0.44,0.319,0.559,52.9,60.3,15.4,11.3,0.528,16.4,34.5,0.297,75.1,90.7,0.415,0.353,0.508,47.1,45.9,9.8,8.1,0.46,21.6,28.7,0.296,0.568733153638814,71.3
"Wisconsin","http://a.espncdn.com/i/teamlogos/ncaa/500/275.png","P5","#A00001","#f7f7f7","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/wisconsin-wordmark.png",1,9,7,2,0.778,18.95,8.51,360,231,504,0.458,56,176,0.318,144,184,0.783,107,309,99,58,13,95,136,360,199,449,0.443,59,176,0.335,111,156,0.712,61,244,86,40,29,121,175,64.6,113.9,0.365,0.349,0.56,55.9,42.9,10,4.8,0.514,13.8,36.9,0.286,64.6,97.8,0.347,0.392,0.543,44.1,43.2,6.9,8.8,0.509,18.8,23.2,0.247,0.533536585365854,76.8
"Murray State","http://a.espncdn.com/i/teamlogos/ncaa/500/93.png","FCS","#002148","#000e00","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/murray_state_racers_logo_wordmark_20149491.png",0,7,3,4,0.429,-1.58,-0.24,285,193,418,0.462,51,153,0.333,102,148,0.689,74,256,93,35,20,69,109,285,198,427,0.464,49,143,0.343,69,95,0.726,62,237,84,36,24,75,125,68,111.4,0.354,0.366,0.552,51.9,48.2,7.2,7,0.523,12.4,29.7,0.244,68,106.2,0.222,0.335,0.544,48.1,42.4,7.4,9.1,0.521,13.7,25.4,0.162,0.535849056603774,74.6
"California Baptist","https://a.espncdn.com/i/teamlogos/ncaa/500/2856.png","hoopR","#000000","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/california_baptist_lancers_logo_wordmark_2017_sportslogosnet-1235.png",0,8,6,2,0.75,2.23,-5.44,320,194,455,0.426,60,175,0.343,131,199,0.658,110,327,100,41,20,98,120,320,192,454,0.423,42,132,0.318,80,115,0.696,62,257,80,44,26,96,163,67.5,107.2,0.437,0.385,0.527,56,51.5,7.6,6.2,0.492,15.1,36.1,0.288,67.5,93.7,0.253,0.291,0.497,44,41.7,8.1,9.3,0.469,15.9,22.2,0.176,0.478571428571429,77.8
"Creighton","https://a.espncdn.com/i/teamlogos/ncaa/500/156.png","hoopR","#13299e","#00235d","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/creighton_bluejays_logo_wordmark_2013_sportslogosnet-3256.png",1,8,7,1,0.875,25.2,4.57,320,242,489,0.495,98,250,0.392,90,122,0.738,81,333,135,29,31,82,78,320,209,519,0.403,37,122,0.303,52,72,0.722,69,247,79,47,22,63,115,68.4,122.6,0.249,0.511,0.614,57.4,55.8,5.3,7.8,0.595,13,31.3,0.184,68.4,92.5,0.139,0.235,0.458,42.6,37.8,8.6,9.2,0.438,10.2,21.5,0.1,0.602510460251046,78.5
"Gonzaga","https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png","hoopR","#002967","#cfd4d8","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/gonzaga_bulldogs_logo_wordmark_20114028.png",1,8,7,1,0.875,18.08,4.23,320,272,533,0.51,60,169,0.355,94,137,0.686,115,369,132,54,28,102,133,320,191,512,0.373,53,194,0.273,100,134,0.746,81,246,81,55,24,88,142,73,119.5,0.257,0.317,0.584,60,48.5,9.2,8.8,0.567,14.6,41.1,0.176,73,91.6,0.262,0.379,0.465,40,42.4,9.4,6.6,0.425,13.3,24.2,0.195,0.582417582417582,75.8
"Marquette","https://a.espncdn.com/i/teamlogos/ncaa/500/269.png","hoopR","#083963","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/marquette_golden_eagles_logo_wordmark_20057580.png",1,9,7,2,0.778,22.96,9.74,360,265,547,0.484,80,239,0.335,110,157,0.701,78,299,138,79,20,86,144,360,218,526,0.414,62,194,0.32,103,146,0.705,103,324,111,54,30,141,131,70.2,114.1,0.287,0.437,0.579,48,52.1,12.5,6,0.558,12.2,26.1,0.201,70.2,95.2,0.278,0.369,0.505,52,50.9,8.6,9.7,0.473,19.1,31.8,0.196,0.600649350649351,68.2
"Santa Clara","https://a.espncdn.com/i/teamlogos/ncaa/500/2541.png","hoopR","#690b0b","#101010","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/santa_clara_broncos_logo_wordmark_2016_sportslogosnet-1746.png",0,9,7,2,0.778,2.83,-3.17,360,271,570,0.475,79,218,0.362,92,145,0.634,121,372,144,51,27,110,143,360,225,550,0.409,70,211,0.332,108,147,0.735,84,291,114,61,17,104,141,70.4,112.5,0.254,0.382,0.558,56.1,53.1,8,8,0.545,14.7,36.9,0.161,70.4,99.1,0.267,0.384,0.507,43.9,50.7,9.6,4.8,0.473,14.4,25.1,0.196,0.545454545454545,74.9
