"school","logo","type","color","alt_color","wordmark","belong","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Memphis","http://a.espncdn.com/i/teamlogos/ncaa/500/235.png","G5","#002447","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/memphis_tigers_logo_wordmark_2021_sportslogosnet-8745.png",1,8,6,2,0.75,8.94,3.44,325,222,488,0.455,65,185,0.351,127,175,0.726,89,300,103,69,41,110,142,325,208,516,0.403,72,214,0.336,104,142,0.732,111,314,97,54,35,114,155,72.5,108,0.359,0.379,0.557,48.9,46.4,11.7,13.6,0.522,16.1,30.5,0.26,72.5,100.5,0.275,0.415,0.507,51.1,46.6,9.2,11.6,0.473,16.3,34.5,0.202,0.518151815181518,65.5
"Miami","http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png","P5","#004325","#f0f0f0","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2537_miami_wordmark.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michigan State","http://a.espncdn.com/i/teamlogos/ncaa/500/127.png","P5","#18453B","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/michigan_state_spartans_logo_wordmark_2010_sportslogosnet-9157.png",1,8,4,4,0.5,16.46,7.08,325,215,478,0.45,41,149,0.275,110,164,0.671,90,300,133,56,38,87,138,325,169,455,0.371,55,188,0.293,113,156,0.724,90,296,97,50,25,108,157,67.7,105.6,0.343,0.312,0.523,50.3,61.9,10.2,14.2,0.493,13.5,30.4,0.23,67.7,92,0.343,0.413,0.478,49.7,57.4,9.1,7.6,0.432,17,30,0.248,0.52887537993921,70
"Mississippi State","http://a.espncdn.com/i/teamlogos/ncaa/500/344.png","P5","#762123","#c8c8c8","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8440_mississippi_state_bulldogs-wordmark-2009.png",1,8,6,2,0.75,13.77,2.4,320,196,473,0.414,62,212,0.292,119,164,0.726,98,335,108,68,28,111,130,320,169,462,0.366,45,177,0.254,99,145,0.683,77,276,74,69,23,106,144,70.2,102,0.347,0.448,0.52,54.8,55.1,12.1,9.8,0.48,16.8,33,0.252,70.2,85.8,0.314,0.383,0.454,45.2,43.8,12.3,8.8,0.415,16.6,24.5,0.214,0.513409961685824,75.5
"Nevada","http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png","G5","#153E5F","#8e9295","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/5309_nevada_wolf_pack-primary-2008.png",1,7,7,0,1,16.59,-2.26,280,194,409,0.474,36,106,0.34,162,213,0.761,70,280,110,35,29,58,128,280,164,424,0.387,58,190,0.305,68,118,0.576,70,238,93,28,28,88,177,71.2,117.7,0.521,0.259,0.574,54.1,56.7,7,12.4,0.518,10.2,29.4,0.396,71.2,91.2,0.278,0.448,0.473,45.9,56.7,5.6,9.2,0.455,15.5,25,0.16,0.521452145214521,75
"New Mexico","http://a.espncdn.com/i/teamlogos/ncaa/500/167.png","G5","#000000","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/new_mexico_lobos_logo_secondary_2017_sportslogosnet-2427.png",1,9,8,1,0.889,18.3,0.3,360,279,584,0.478,61,170,0.359,149,213,0.7,110,370,154,76,42,92,166,360,208,527,0.395,57,188,0.303,133,185,0.719,85,315,105,49,35,135,179,74,115.3,0.365,0.291,0.56,54,55.2,11.4,12.4,0.53,11.8,32.4,0.255,74,91,0.351,0.357,0.493,46,50.5,7.4,8.5,0.449,18,24.6,0.252,0.526570048309179,75.4
"New Mexico State","http://a.espncdn.com/i/teamlogos/ncaa/500/166.png","G5","#891216","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/new_mexico_state_aggies_logo_wordmark_20056268.png",0,10,4,6,0.4,-13.54,5.6,410,247,575,0.43,67,197,0.34,157,220,0.714,93,356,133,66,21,127,216,410,238,559,0.426,94,266,0.353,177,259,0.683,87,331,150,73,29,124,182,69.9,100.3,0.383,0.343,0.528,51.8,53.8,9.2,7.2,0.488,15.7,27.6,0.273,69.9,104.3,0.463,0.476,0.548,48.2,63,10.2,7.7,0.51,15.4,24.9,0.317,0.476190476190476,75.1
"North Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/153.png","P5","#99bfe5","#13294b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_carolina_tar_heels_logo_wordmark_19965588.png",1,9,7,2,0.778,17.72,6.28,365,253,553,0.458,69,192,0.359,191,252,0.758,108,349,131,48,39,91,148,365,242,563,0.43,74,227,0.326,105,141,0.745,84,305,108,52,29,110,195,71.9,116.8,0.456,0.347,0.569,53.4,51.8,7.3,11.6,0.52,11.9,32.8,0.345,71.9,101.1,0.25,0.403,0.526,46.6,44.6,7.9,8,0.496,14.9,25.8,0.187,0.509695290858726,74.2
"North Texas","http://a.espncdn.com/i/teamlogos/ncaa/500/249.png","G5","#00853D","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_texas_mean_green_logo_wordmark_20051155.png",0,8,5,3,0.625,7.32,-1.82,325,192,434,0.442,66,176,0.375,109,140,0.779,91,283,88,60,18,99,131,325,163,412,0.396,44,143,0.308,96,137,0.701,76,238,72,53,21,113,128,62.9,109.4,0.323,0.406,0.558,54.3,45.8,11.7,6.7,0.518,16.5,36,0.251,62.9,91.2,0.333,0.347,0.488,45.7,44.2,10.4,8.1,0.449,19.2,28.4,0.233,0.488372093023256,71.6
"Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png","P5","#DE3121","#666666","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2586_ohio_state_buckeyes-wordmark-2013.png",1,9,8,1,0.889,19,3.67,361,250,527,0.474,77,192,0.401,151,196,0.77,113,343,140,59,40,94,154,361,215,515,0.417,65,196,0.332,95,145,0.655,97,286,87,45,20,116,180,66.9,120.9,0.372,0.364,0.587,54.5,56,9.8,12.5,0.547,13.2,37.4,0.287,66.9,98,0.282,0.381,0.505,45.5,40.5,7.5,6,0.481,16.6,29.7,0.184,0.516417910447761,70.3
