"school","logo","type","color","alt_color","wordmark"
"NC State","http://a.espncdn.com/i/teamlogos/ncaa/500/152.png","P5","#EF1216","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_carolina_state_wolfpack_logo_wordmark_2011_sportslogosnet-5725.png"
"North Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/153.png","P5","#99bfe5","#13294b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_carolina_tar_heels_logo_wordmark_19965588.png"
"Notre Dame","http://a.espncdn.com/i/teamlogos/ncaa/500/87.png","P5","#00122b","#ae9142","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/notre_dame_fighting_irish_logo_wordmark_2015_sportslogosnet-5359.png"
"Pittsburgh","http://a.espncdn.com/i/teamlogos/ncaa/500/221.png","P5","#003263","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/9267_pittsburgh_panthers-wordmark-1997.png"
"South Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png","P5","#670010","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/south_carolina_gamecocks_logo_alternate_2008_sportslogosnet-4735.png"
"Syracuse","http://a.espncdn.com/i/teamlogos/ncaa/500/183.png","P5","#F37321","#0d1d37","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/syracuse_orange_logo_wordmark_2015_sportslogosnet-2819.png"
"TCU","http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png","P5","#3C377D","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tcu_horned_frogs_logo_wordmark_2013_sportslogosnet-8595.png"
"UAB","http://a.espncdn.com/i/teamlogos/ncaa/500/5.png","G5","#003b28","#ffc845","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/uab_blazers_logo_wordmark_2015_sportslogosnet-3373.png"
"Virginia","http://a.espncdn.com/i/teamlogos/ncaa/500/258.png","P5","#00204e","#002d62","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8905_virginia_cavaliers-wordmark-2020.png"
"Virginia Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/259.png","P5","#74232D","#c2c1ba","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/virginia_tech_hokies_logo_wordmark_2016_sportslogosnet-6021.png"
"Wake Forest","http://a.espncdn.com/i/teamlogos/ncaa/500/154.png","P5","#9E7E38","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2196_wake_forest_demon_deacons-wordmark-2007.png"
"Alcorn State","http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png","FCS","#4b0058","#46166a","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1722_alcorn_state_braves-wordmark-2004.png"
"Davidson","http://a.espncdn.com/i/teamlogos/ncaa/500/2166.png","FCS","#000000","#e51837","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8863_davidson_wildcats-wordmark-2010.png"
"Radford","https://a.espncdn.com/i/teamlogos/ncaa/500/2515.png","hoopR","#BC1515","#c2c3c0","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/radford-wordmark.png"
"Winthrop","https://a.espncdn.com/i/teamlogos/ncaa/500/2737.png","hoopR","#9e0b0e","#fdb41e","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/winthrop_eagles_logo_alternate_19954644.png"
