"#","URL","first","last","Team","Class","Pos","Height","Weight","GP","GS","MPG","Poss%","USG%","PG","SG","SF","PF","C","PER","OBPM","DBPM","BPM","PPG","FD/40","2P%","3P%","3PAr","eFG%","TS%","FT%","FTr","ApG","AST:TO","AST%","TOV%","ORB%","DRB%","TRB%","STL%","BLK%","FC/40","All Players","Guards","Wings","Bigs","Starters","Lefties"
23,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703887.png&w=350&h=254","Nick","Pringle","Alabama","Jr","F","6-9",220,36,0,8,17.4,16.5,NA,NA,NA,NA,100,25,2.4,5,7.4,3.5,5.5,84.7,NA,0,84.7,74,47.3,93.2,0.2,0.4,4.8,16.6,13.7,23.9,19.1,1.5,4.7,8.2,1,0,0,1,0,0
10,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397221.png&w=350&h=254","Dominick","Welch","Alabama","Sr","G","6-5",205,20,0,9.1,14.7,15.4,NA,NA,NA,100,NA,5.8,-2.6,3.2,0.5,2,2.7,35.7,22.6,68.9,34.4,39.4,75,26.7,0.3,0.6,5.4,15.1,4.1,13.4,9.1,0.9,2.5,3.8,1,0,1,0,0,0
12,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702175.png&w=350&h=254","Delaney","Heard","Alabama",NA,"G",NA,NA,13,0,1.7,NA,27.5,NA,NA,NA,NA,NA,21.3,3.9,1.2,5.1,1.2,NA,33.3,75,40,65,68.5,100,20,0,0,0,15.4,9.7,8.5,9,0,0,NA,1,NA,NA,NA,0,0
2,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433561.png&w=350&h=254","Darius","Miles","Alabama","Jr","F","6-6",185,6,0,6.5,22.8,20.3,NA,NA,NA,NA,NA,2.2,-6.7,3.5,-3.2,1.5,3.8,33.3,33.3,50,41.7,57,100,66.7,0.5,0.33,12.3,53.3,5.5,16.7,11.5,1.4,2.3,5.1,1,NA,NA,NA,0,0
30,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4598102.png&w=350&h=254","Adam","Cottrell","Alabama",NA,"G",NA,NA,14,0,1.6,NA,16.3,NA,NA,NA,NA,NA,5.7,-9.4,4.5,-4.9,0.6,NA,100,33.3,85.7,57.1,57.1,NA,0,0,0,0,12.5,0,8.1,4.3,2.4,0,NA,1,NA,NA,NA,0,0
34,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702179.png&w=350&h=254","Jaden","Quinerly","Alabama",NA,"G",NA,NA,13,0,1.7,NA,31.5,NA,NA,NA,NA,NA,7.1,-9.6,9.6,0,0.3,NA,0,0,33.3,0,15.6,50,88.9,0.3,1.5,26.8,13.5,14.6,4.2,9,12.5,0,NA,1,NA,NA,NA,0,0
31,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105513.png&w=350&h=254","Max","Scharnowski","Alabama",NA,"F",NA,NA,3,0,1.7,NA,0,NA,NA,NA,NA,NA,5.3,-3.8,3,-0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,21.3,18.6,19.9,0,0,NA,1,NA,NA,NA,0,0
32,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105514.png&w=350&h=254","Kai","Spears","Alabama",NA,"G",NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0
2,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432129.png&w=350&h=254","Tyson","Walker","Michigan State","Sr","G","6-1",180,34,34,33.9,22.1,23.4,22.4719101123596,77.5280898876404,NA,NA,NA,17.7,3.6,2.6,6.1,14.8,2.9,48.1,41.5,33.1,52.8,54.9,79.7,14.9,2.9,2.23,18.2,8.6,1,7.6,4.4,2,0.8,2.6,1,1,0,0,1,0
10,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4295180.png&w=350&h=254","Joey","Hauser","Michigan State","Sr","F","6-9",220,34,34,34.1,19.5,20.2,NA,NA,NA,77.0114942528736,22.9885057471264,19.7,6.2,2.1,8.3,14.4,3.4,50.6,46.1,49.3,59.7,63.6,87.6,28.6,1.8,1.2,10.6,11.5,4.8,19.1,12.3,0.7,0.7,2.7,1,0,0,1,1,0
11,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432206.png&w=350&h=254","A.J.","Hoggard","Michigan State","Jr","G","6-4",205,34,33,30.6,27.6,26.2,100,NA,NA,NA,NA,18.7,3.4,2.3,5.6,12.9,5.3,44.1,32.9,21.3,45.2,52.3,80.4,46.1,5.9,2.27,38.6,17.4,0.7,13,7.1,1.8,1.2,3.1,1,1,0,0,1,0
3,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683730.png&w=350&h=254","Jaden","Akins","Michigan State","So","G","6-4",190,30,25,27.4,19.4,20.7,NA,26.027397260274,73.972602739726,NA,NA,14.9,2.6,3.3,5.9,9.8,2.4,41.8,42.2,44.3,51.3,52.7,70.6,13,1.2,0.92,8.7,12.3,3.6,13.2,8.6,2.7,1.5,2.2,1,0,1,0,1,0
25,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592693.png&w=350&h=254","Malik","Hall","Michigan State","Sr","F","6-8",220,23,5,25.7,20.4,20.5,NA,NA,56.5217391304348,43.4782608695652,NA,14.3,1.5,2.1,3.6,8.9,3.5,48.3,32.7,29.7,48.5,53.8,84.6,31.5,1.2,0.8,9.2,15.6,6.9,12.9,10.1,1.2,1.7,3.1,1,0,1,0,0,0
22,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433154.png&w=350&h=254","Mady","Sissoko","Michigan State","Jr","C","6-9",240,34,33,21.4,14.3,13.3,NA,NA,NA,NA,100,14.1,-0.4,3.2,2.9,5.1,3.5,61.2,NA,0,61.2,62.6,63.5,71.8,0.5,0.42,4.5,23.3,9.9,23.1,16.8,0.8,4.4,5.2,1,0,0,1,1,0
1,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683731.png&w=350&h=254","Pierre","Brooks","Michigan State","So","G","6-6",220,30,5,14.3,15.6,16.7,NA,NA,NA,NA,NA,7.4,-0.2,0.4,0.2,3.6,1.8,34.9,32.4,63.2,43.6,44.4,60,8.5,0.4,1,4.7,8.3,4.6,9.3,7.1,0.7,0,2,1,NA,NA,NA,0,0
0,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105815.png&w=350&h=254","Jaxon","Kohler","Michigan State","Fr","F","6-9",240,34,0,10.8,18.3,18.2,NA,NA,NA,NA,100,13.4,-1.6,2.1,0.5,3,1.9,51.5,0,2,50.5,49.6,25,8.1,0.3,0.5,5.4,17,11.8,19.6,15.9,0.7,5.3,4.9,1,0,0,1,0,0
15,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105817.png&w=350&h=254","Carson","Cooper","Michigan State","Fr","C","6-11",230,30,0,6.6,11.7,11.5,NA,NA,NA,NA,100,12.6,-0.3,3.5,3.2,1.6,3.2,73.1,NA,0,73.1,67.1,47.4,73.1,0.1,0.5,2.8,16.7,7.6,8.7,8.1,1.2,4.6,6.5,1,0,0,1,0,0
