"date","game_date","location","opponent","wl","team_score","opponent_score","conference_game","Winning_Margin","game_code","net","net_rk","spread","ATS_Margin","Pace","Offensive_Efficency","Defensive_Efficency","Points_Scored","Points_Allowed","Offensive_3PAr","Offensive_3Ppct","Offensive_TOpct","Offensive_OREBpct","Offensive_FTr","Defensive_3PAr","Defensive_3Ppct","Defensive_TOpct","Defensive_OREBpct","Defensive_FTr","Team"
2022-11-18,20221118,"Home","UNC Wilmington","W",86,50,"OOC",36,"UNC Wilmington 20221118",144,"Other",-18,18,66,130.9,76.1,86,50,42.3,45.5,15.2,24,44.2,27.3,20,19.8,30.2,36.4,"UCONN"
2022-11-20,20221120,"Home","Delaware State","W",95,60,"OOC",35,"Delaware State 20221120",355,"Other",-33,2,74,128.1,80.9,95,60,45.9,42.9,17.5,33.3,31.1,17.3,22.2,24.3,19.4,50,"UCONN"
2022-11-24,20221124,"Away","Oregon","W",83,59,"OOC",24,"Oregon 20221124",47,"NET Top 50",-3,21,69,121.1,86.1,83,59,58.7,45.9,17.5,34.3,17.5,31.9,33.3,24.8,22.6,53.2,"UCONN"
2022-11-25,20221125,"Away","Alabama","W",82,67,"OOC",15,"Alabama 20221125",2,"NET Top 50",1,16,74,111.4,91,82,67,40,37.5,16.3,27.8,40,32,37.5,28.5,29,50,"UCONN"
2022-11-27,20221127,"Away","Iowa State","W",71,53,"OOC",18,"Iowa State 20221127",20,"NET Top 50",-6,12,63,112.1,83.7,71,53,49.1,26.9,30,63.6,47.2,24.1,23.1,18.9,20.6,18.5,"UCONN"
2022-12-01,20221201,"Home","Oklahoma State","W",74,64,"OOC",10,"Oklahoma State 20221201",43,"NET Top 50",-9,1,67,109.9,95,74,64,41.1,34.8,10.4,33.3,58.9,19.6,36.4,25.2,37.1,33.9,"UCONN"
2022-12-07,20221207,"Away","Florida","W",75,54,"OOC",21,"Florida 20221207",62,"NET Top 100",-4,17,70,107.5,77.4,75,54,32.8,36.8,21.5,28.6,15.5,28.3,26.7,17.2,19.1,52.8,"UCONN"
2022-12-10,20221210,"Home","Long Island University","W",114,61,"OOC",53,"Long Island University 20221210",NA,NA,-39,14,79,144.7,77.4,114,61,44.4,43.8,15.2,37.9,18.1,17.3,22.2,26.6,16.7,46.1,"UCONN"
2022-12-17,20221217,"Away","Butler","W",68,46,"BE",22,"Butler 20221217",131,"Other",-7,15,67,102.2,69.1,68,46,40.8,34.5,18,40.9,5.6,25.9,21.4,15,10,24.1,"UCONN"
2022-12-20,20221220,"Home","Georgetown","W",84,73,"BE",11,"Georgetown 20221220",243,"Other",-21,-10,71,118.3,102.8,84,73,49.2,36.7,9.9,15.2,24.6,18.6,27.3,19.7,34.3,39,"UCONN"
2022-12-28,20221228,"Home","Villanova","W",74,66,"BE",8,"Villanova 20221228",75,"NET Top 100",NA,NA,70,106.2,94.7,74,66,56.6,30,15.8,24.2,50.9,43.1,22.7,25.8,25,35.3,"UCONN"
2022-12-31,20221231,"Away","Xavier","L",73,83,"BE",-10,"Xavier 20221231",22,"NET Top 50",-3,-13,74,98.9,112.5,73,83,55.2,35.1,21.7,32.5,13.4,25,30.8,16.3,13.8,53.9,"UCONN"
2023-01-04,20230104,"Away","Providence","L",61,73,"BE",-12,"Providence 20230104",56,"NET Top 100",-5,-17,61,100.3,120,61,73,34.9,22.7,13.2,41.3,30.2,36.7,44.4,14.8,41.2,71.4,"UCONN"
2023-01-07,20230107,"Home","Creighton","W",69,60,"BE",9,"Creighton 20230107",17,"NET Top 50",-7,2,66,104.7,91,69,60,40,33.3,7.6,23.7,38.3,26.2,12.5,19.7,44.4,37.7,"UCONN"
2023-01-11,20230111,"Away","Marquette","L",76,82,"BE",-6,"Marquette 20230111",12,"NET Top 50",-2,-8,69,110,118.7,76,82,36.7,27.3,23.2,42.4,25,27.1,37.5,15.9,32.3,32.2,"UCONN"
2023-01-15,20230115,"Home","St. John's","L",74,85,"BE",-11,"St. John's 20230115",98,"NET Top 100",-14,-25,77,95.8,110.1,74,85,47.3,30.8,27.2,34.3,49.1,22.4,15.4,12.9,22.2,63.8,"UCONN"
2023-01-18,20230118,"Away","Seton Hall","L",66,67,"BE",-1,"Seton Hall 20230118",77,"NET Top 100",-5,-6,67,98.1,99.6,66,67,41.1,39.1,26.8,36.4,25,37.5,19,13.4,28.2,44.6,"UCONN"
2023-01-22,20230122,"Home","Butler","W",86,56,"BE",30,"Butler 20230122",131,"Other",-15,15,66,129.8,84.5,86,56,29.7,36.8,12.1,50,39.1,36.5,31.6,16.6,11.8,30.8,"UCONN"
2023-01-25,20230125,"Home","Xavier","L",79,82,"BE",-3,"Xavier 20230125",22,"NET Top 50",-6,-9,70,112.8,117.1,79,82,45.9,35.7,17.1,43.2,41,34.5,50,21.4,30.8,22.4,"UCONN"
2023-01-31,20230131,"Away","DePaul","W",90,76,"BE",14,"DePaul 20230131",163,"Other",-11,3,69,130,109.8,90,76,29.1,25,15.9,48,61.8,35.7,45,15.9,31.6,50,"UCONN"
2023-02-04,20230204,"Away","Georgetown","W",68,62,"BE",6,"Georgetown 20230204",243,"Other",-13,-7,59,116.2,106,68,62,37.5,50,18.8,48.7,7.8,30.2,43.8,17.1,36.7,26.4,"UCONN"
2023-02-07,20230207,"Home","Marquette","W",87,72,"BE",15,"Marquette 20230207",12,"NET Top 50",-5,10,68,128,105.9,87,72,37.1,52.2,25,58.3,35.5,35.6,23.8,11.8,25,33.9,"UCONN"
2023-02-11,20230211,"Away","Creighton","L",53,56,"BE",-3,"Creighton 20230211",17,"NET Top 50",4,1,60,87.6,92.6,53,56,41.5,25.9,21.5,40.9,6.2,33.3,31.2,18.2,26.7,35.4,"UCONN"
2023-02-18,20230218,"Home","Seton Hall","W",64,55,"BE",9,"Seton Hall 20230218",77,"NET Top 100",-11,-2,67,95.8,82.3,64,55,42.3,18.2,26.9,43.8,42.3,20.8,18.2,21,21.9,28.3,"UCONN"
2023-02-22,20230222,"Home","Providence","W",87,69,"BE",18,"Providence 20230222",56,"NET Top 100",-7,11,64,135.8,107.7,87,69,35,47.6,20.3,55.6,23.3,37.7,40,14.1,24.2,37.7,"UCONN"
2023-02-25,20230225,"Away","St. John's","W",95,86,"BE",9,"St. John's 20230225",98,"NET Top 100",-7,2,77,123.8,112.1,95,86,39.1,36,18.2,50,51.6,20,30.8,16.9,41.7,44.6,"UCONN"
2023-03-01,20230301,"Home","DePaul","W",88,59,"BE",29,"DePaul 20230301",163,"Other",-17,12,69,127.2,85.3,88,59,35.9,43.5,18.8,43.3,15.6,25,33.3,20.2,30.8,26.7,"UCONN"
2023-03-04,20230304,"Away","Villanova","W",71,59,"BE",12,"Villanova 20230304",75,"NET Top 100",-2,10,65,109.1,90.6,71,59,48.2,29.6,18.4,32.3,25,50.9,25,18.4,26.3,32.7,"UCONN"
2023-03-09,20230309,"Away","Providence","W",73,66,"OOC",7,"Providence 20230309",56,"NET Top 100",-6,1,64,113.7,102.8,73,66,56.6,43.3,28,40,9.4,39.7,26.1,14,28.6,29.3,"UCONN"
